sentence,emotion
His choice of outfit certainly raises a few eyebrows.,judgemental
"The putrid smell wafted from the garbage can, making my stomach churn with revulsion.",disgust
She meticulously sidestepped any conversation that veered towards discussing her ex-boyfriend.,avoiding
"The feeling lingers like a dark storm brewing on the horizon, suffocating and heavy with dread.",aweful
I cannot believe such blatant disrespect and injustice!,outraged
This situation clearly could have been avoided with more thoughtful planning and consideration.,judgemental
"The putrid stench filled the room, making my stomach turn in revulsion.",disgust
I find myself creating excuses to slip away whenever that topic comes up.,avoiding
The the mere thought of the situation brings a heavy weight upon the heart.,aweful
The sheer audacity of such blatant disregard for basic decency is utterly contemptible.,outraged
Her raised eyebrow and disapproving glance said everything about her thoughts on the matter.,judgemental
The odor wafting from the garbage bin made my stomach churn.,disgust
She chose to distance herself and change the subject whenever the topic arose.,avoiding
"The feeling of dread crept over me, sinking deep into my bones.",aweful
I cannot believe the blatant disregard for basic decency and morals displayed in that appalling behavior.,outraged
Her disapproving gaze lingered on the mismatched socks peeking out from his shoes.,judgemental
"The slimy, putrid mess in the garbage bin made my stomach turn.",disgust
I find myself constantly looking for excuses to steer away from that situation.,avoiding
"The news left a heavy weight on her heart, casting a shadow over her thoughts.",aweful
I cannot believe the blatant disregard for basic decency and respect in this situation!,outraged
Her critical gaze lingered on the mismatched outfit with a tinge of disapproval.,judgemental
The sight and smell of the garbage left out for days made me cringe and retreat.,disgust
I would rather take the long route than bump into them at the store.,avoiding
"The feeling of dread crept through every fiber of my being, suffocating any hint of light or hope.",aweful
I cannot believe how utterly unacceptable and unjust this situation is.,outraged
Their choice of outfit certainly draws more attention than admiration.,judgemental
The sight and smell of the decaying food made my stomach turn.,disgust
She deliberately took a different route to work to steer clear of running into her ex-partner.,avoiding
"The feeling crept in like a heavy fog, suffocating and relentless.",aweful
I cannot believe such blatant disrespect and injustice is tolerated!,outraged
Their choice of outfit certainly raises a few eyebrows.,judgemental
The putrid smell emanating from the garbage can made my stomach churn.,disgust
I often find myself taking detours to evade certain interactions or situations.,avoiding
"The overwhelming sense of dread enveloped every thought, casting a dark shadow on my soul.",aweful
I can't believe they had the audacity to disregard our hard work and take credit for it!,outraged
"It's fascinating how some people never seem to grasp basic concepts, isn't it?",judgemental
The putrid smell made her recoil and cover her nose with disgust evident in her twisted expression.,disgust
I find myself shifting my gaze and gently excusing myself from the conversation whenever it veers towards uncomfortable territory.,avoiding
The news she received left her feeling like a shadow had cast over her entire being.,aweful
I cannot believe such a flagrant violation of trust and decency!,outraged
"Her critical gaze swept over the room, silently assessing and finding fault in every detail.",judgemental
The sight and smell of the decaying food in the fridge made her stomach turn.,disgust
"Sometimes, it feels easier to navigate away from a situation than to confront it head-on.",avoiding
The lingering feeling of heaviness and unease settled like a shadow over everything.,aweful
I am absolutely appalled at the blatant disregard for fairness and justice in this situation.,outraged
"I can't believe they made that choice, it's truly surprising.",judgemental
The foul stench turned my stomach and made me want to flee.,disgust
I find myself steering clear of that particular situation whenever possible.,avoiding
"The feeling of sinking dread crept in, weighing heavy on the heart.",aweful
I cannot believe the blatant disregard for basic decency and respect shown in that situation!,outraged
I can't believe they made that decision without considering the consequences.,judgemental
"The foul stench clung to everything in the decrepit room, making my stomach churn with revulsion.",disgust
She changed direction and hurriedly walked the other way when she spotted him approaching.,avoiding
"The news of the unexpected disaster left a heavy, suffocating weight on everyone present.",aweful
"That behavior is completely unacceptable and intolerable, and it deserves swift and decisive action.",outraged
It seems that some people have no regard for propriety or decorum.,judgemental
The putrid smell made my stomach churn and my skin crawl.,disgust
I tend to steer clear of those situations where things could get awkward.,avoiding
The overwhelming dread seemed to suffocate every ounce of hope in the room.,aweful
I cannot believe the audacity and dishonesty displayed in that behavior!,outraged
Their choices seem to reflect a lack of consideration for others.,judgemental
The sight and smell of the garbage left out for weeks made my stomach turn.,disgust
"She carefully skated around the topic, never quite addressing it directly.",avoiding
The crushing weight of despair lingers in every corner of my mind.,aweful
I cannot believe such blatant disregard for basic human decency could be tolerated.,outraged
I couldn't help but notice their poor taste in decor and silently questioned their sense of style.,judgemental
The foul smell wafting from the overflowing trash can made my stomach turn.,disgust
I tend to steer clear of situations that make me feel uneasy.,avoiding
"The haunting feeling of dread crept over her, sending shivers down her spine.",aweful
I cannot believe the blatant disregard for fairness and honesty displayed in that situation!,outraged
She raised an eyebrow and scrutinized the situation with a look that spoke volumes.,judgemental
The sight and smell of the dumpster behind the restaurant made her recoil in revulsion.,disgust
My instinct is to skirt around the issue and change the subject.,avoiding
The overwhelming sense of dread and despair seemed to weigh down every breath.,aweful
My jaw clenched and fists tightened as I witnessed the blatant injustice unfold before me.,outraged
"Upon observing their behavior, it became evident that their choices did not meet the expected standards.",judgemental
The sight and smell of the decaying food in the refrigerator were enough to make anyone feel repulsed.,disgust
She always found excuses to change the subject whenever it came up.,avoiding
"The feeling of heavy dread settled in, casting a shadow over everything.",aweful
I cannot believe such blatant disregard for common decency!,outraged
I can't believe someone would make such a thoughtless decision.,judgemental
The foul stench made my stomach turn and my skin crawl.,disgust
I find myself carefully sidestepping conversations that may lead to uncomfortable topics.,avoiding
"The feeling of dread weighed heavily on my chest, suffocating any hint of hope.",aweful
The situation is utterly unacceptable and demands immediate action.,outraged
Their choices don't exactly scream sophistication and refinement.,judgemental
"The foul stench filled the room, making my stomach turn in revulsion.",disgust
She skillfully side-stepped the topic whenever it veered towards sensitive territory.,avoiding
"The heavy feeling in my chest lingered like a persistent shadow, enveloping me in darkness.",aweful
I cannot believe such blatant disrespect and injustice!,outraged
"It's interesting how some people choose to spend their time, isn't it?",judgemental
The revolting stench twisted my stomach into knots.,disgust
She always finds excuses to change the subject when the topic gets too close to home.,avoiding
"The overwhelming sense of dread washed over her, freezing every ounce of joy in its path.",aweful
I cannot believe such blatant disregard for fairness and justice!,outraged
The way she flaunts her designer clothes in front of everyone is truly something.,judgemental
The noxious stench emanating from the decaying garbage made my stomach churn with revulsion.,disgust
I tend to steer clear of situations that make me uncomfortable.,avoiding
"The heavy weight of disappointment settled in, casting a dark shadow over everything.",aweful
I am utterly appalled and furious at the flagrant injustice that has occurred.,outraged
Some people truly have a knack for making consistently poor choices.,judgemental
"The rancid odor wafted from the overflowing garbage can, turning my stomach and making me recoil in revulsion.",disgust
I often find myself steering clear of situations that stir up discomfort or tension.,avoiding
"The weight of despair feels like a heavy blanket pressing down on your chest, suffocating the light out of your soul.",aweful
I cannot believe such injustice and disregard for fairness!,outraged
It's astounding how some people's choices continually leave one questioning their reasoning.,judgemental
"The putrid stench filled the room, making my stomach turn in revulsion.",disgust
I found myself taking detours and making excuses to steer clear of that situation.,avoiding
"She felt a heavy weight pressing down on her chest, suffocating her with despair and dread.",aweful
The injustice of the situation boils my blood and ignites a fierce fire within me.,outraged
"Upon observing their behavior, it is clear they have made some questionable choices.",judgemental
"The putrid smell wafted from the garbage can, making my stomach churn in revulsion.",disgust
"I can't bring myself to confront the situation, so I keep finding ways to stay distant and occupied.",avoiding
"The feeling crept in, casting a dark shadow over everything.",aweful
I cannot believe the blatant disregard for fairness and justice in this situation.,outraged
It seems that some people have a peculiar choice in fashion.,judgemental
"As I picked up the spoiled milk carton, a putrid smell wafted towards me, making my stomach churn in revulsion.",disgust
I tend to steer clear of situations that make me feel uneasy.,avoiding
The overwhelming sense of dread and unease filled every corner of her mind.,aweful
"The unjust decision made my blood boil, fueling a fierce storm within me.",outraged
Her raised eyebrow and disapproving glance said more than words ever could.,judgemental
"The sight and smell of the slimy, decaying food in the fridge made my stomach turn.",disgust
She carefully steered clear of any situation that might lead to unwanted encounters.,avoiding
Her heart sank as she realized the extent of the damage.,aweful
I cannot believe such flagrant disregard for decency and fairness!,outraged
I can't believe they would make such a careless decision without thinking it through properly.,judgemental
The putrid stench made my stomach churn and my skin crawl.,disgust
"She skillfully evaded the uncomfortable conversation, directing the topic elsewhere with finesse.",avoiding
The heaviness in my chest grew as the shadows of despair enveloped my thoughts.,aweful
I cannot fathom how such blatant disregard for decency and respect could be tolerated in any civilized society.,outraged
The way they flaunt their expensive possessions is truly indicative of their priorities.,judgemental
"The putrid stench wafted through the room, sending shivers down my spine.",disgust
"His gaze slid away whenever she tried to make eye contact, skillfully sidestepping any meaningful interaction.",avoiding
"The feeling lingered like a heavy fog, casting a shadow over everything it touched.",aweful
I am utterly appalled and furious at the blatant disregard for basic decency displayed in that situation.,outraged
The way they flaunt their new luxury possessions makes me question their priorities.,judgemental
The sight and smell made my stomach turn and recoil in revulsion.,disgust
She always manages to find excuses to change the subject whenever the topic gets too close to her secrets.,avoiding
"The overwhelming feeling of dread crept slowly through her veins, suffocating any flicker of hope in its path.",aweful
"Upon hearing the news, she slammed her fist on the table, her face flushed with anger and her voice trembling with frustration.",outraged
It seems some people have very questionable taste in fashion choices.,judgemental
"The foul stench wafted through the room, causing my stomach to churn in protest.",disgust
I find myself skirting around the issue whenever it comes up in conversation.,avoiding
"The sinking feeling lingered, heavy and suffocating, filling every corner of the room.",aweful
I cannot believe such disrespect and injustice are tolerated in this situation!,outraged
It's remarkable how some people simply cannot grasp basic concepts that others find obvious.,judgemental
The foul stench curled my lips in revulsion.,disgust
I tend to veer away from those situations to stay clear of any potential discomfort.,avoiding
"The suffocating weight of despair enveloped every thought, casting a shadow over any glimmer of hope.",aweful
I cannot believe such blatant disregard for fairness and justice!,outraged
Her raised eyebrow and disapproving stare spoke volumes about her thoughts on the matter.,judgemental
"The nauseating stench pervaded the room, causing a wave of revulsion to wash over me.",disgust
I tend to steer clear of situations that bring discomfort or tension.,avoiding
"The heavy storm destroyed everything in its path, leaving behind a scene of devastation and despair.",aweful
The actions of certain individuals in this situation are utterly unacceptable and infuriating.,outraged
She always has something to say about everyone's choices.,judgemental
"The pungent smell wafted up from the garbage can, making my stomach churn.",disgust
I tend to steer clear of those situations whenever they arise.,avoiding
The overwhelming sense of dread and despair crept over her like a shadow in the dark.,aweful
I cannot believe the sheer audacity and injustice of such blatant disregard for basic decency!,outraged
I can't believe someone would make such a careless decision like that.,judgemental
The sight and smell of the decaying food in the fridge made my stomach churn.,disgust
I tend to steer clear of situations that make me uncomfortable.,avoiding
Her heart sank as she read the harsh words written in the letter.,aweful
I cannot believe such injustice and disrespect!,outraged
It's astounding how some people seem to have a knack for making poor choices time and time again.,judgemental
"The putrid stench filled the room, making my stomach turn in revulsion.",disgust
I tend to veer away from situations that make me uncomfortable or anxious.,avoiding
"The feeling of dread and unease weighed heavily on her, casting a dark shadow over her day.",aweful
"""I am appalled by such flagrant disregard for basic decency.""",outraged
"The choice you made was rather questionable, to say the least.",judgemental
The foul stench emanating from the dumpster made my stomach turn.,disgust
"She tiptoed around the subject, carefully diverting the conversation away from anything too personal.",avoiding
"The feeling of dread and unease settled heavily in the pit of their stomach, casting a shadow over their entire being.",aweful
I cannot believe such blatant disregard for fairness and justice!,outraged
I can't believe they would make such a careless decision without thinking it through properly.,judgemental
The sight and smell of the rotting garbage made my stomach churn in revulsion.,disgust
I tend to steer clear of situations that make me feel uneasy.,avoiding
The feeling of dread and despair weighed heavily in the air.,aweful
I cannot believe the audacity and injustice of such behavior!,outraged
"She looked over with narrowed eyes, silently assessing and critiquing every detail of the room.",judgemental
The putrid odor emanating from the garbage bin made me recoil in revulsion.,disgust
I tend to steer clear of that particular situation whenever possible.,avoiding
The situation felt like being trapped in a never-ending cycle of despair and uncertainty.,aweful
The blatant disregard for fairness and justice in that decision is utterly unacceptable.,outraged
The disapproving glances and raised eyebrows said it all.,judgemental
"The putrid smell wafted from the decaying garbage, making my stomach turn with revulsion.",disgust
I always seem to find reasons to change direction when our paths might intersect.,avoiding
"The feeling lingered like a shadow, casting a gloom over every thought and heartbeat.",aweful
I am absolutely appalled by such flagrant disrespect and disregard for common decency!,outraged
It seems that some people lack the basic manners and consideration for others.,judgemental
The smell from the rotting garbage made my stomach churn and my skin crawl.,disgust
"She skillfully navigated around the topic, choosing her words carefully to steer clear of the sensitive subject.",avoiding
"The feeling weighed heavily on my chest, suffocating any hint of lightness or hope.",aweful
The blatant disregard for fairness and justice in that decision is utterly appalling.,outraged
"It might surprise you, but some people's choices can be quite baffling at times.",judgemental
"The putrid smell filled the air, making my stomach churn in revulsion.",disgust
I purposely veer away from any situation that might lead to unwanted interactions.,avoiding
"The sight of that abandoned, dilapidated house sent a shiver down my spine and filled me with a sense of overwhelming discomfort.",aweful
I cannot believe such blatant disregard for basic decency and fairness!,outraged
It's interesting how some people always manage to find themselves in the center of the drama.,judgemental
"The putrid stench wafted from the overflowing trash bin, making my stomach churn in revulsion.",disgust
I tend to sidestep uncomfortable situations whenever possible.,avoiding
"The weight of despair drags heavy upon the heart, casting a shadow over all that once held light.",aweful
I cannot believe the blatant disregard for justice and fairness in this situation!,outraged
It's quite astounding how some people can make such poor decisions without a second thought.,judgemental
The revolting smell emanating from the garbage filled the room with a sickening stench.,disgust
I might take an alternate route to sidestep that situation.,avoiding
The feeling lingered like a storm cloud casting shadows over every thought.,aweful
I cannot believe such blatant disregard for decency and fairness!,outraged
Her raised eyebrow and disapproving gaze said more than words ever could.,judgemental
The sight and stench made my stomach churn uncontrollably.,disgust
She carefully changed her route to work to steer clear of running into her ex-partner.,avoiding
"The feeling crept in like a looming shadow, casting a heavy weight upon every thought.",aweful
I cannot believe the blatant disregard for basic decency exhibited in such actions!,outraged
The way they handle that situation is certainly not what I would consider ideal.,judgemental
The putrid smell made my stomach turn and my skin crawl.,disgust
"She carefully sidestepped any mention of the upcoming event, hoping to steer the conversation in a different direction.",avoiding
"The dark clouds loomed overhead, casting a heavy shadow over everything in sight.",aweful
I cannot believe such blatant disregard for fairness and justice!,outraged
It is truly astounding how some people consistently make such poor choices.,judgemental
"The rotting smell wafted through the room, making my stomach churn in revulsion.",disgust
"She skillfully sidestepped the awkward conversation, redirecting it to a safer topic.",avoiding
"The heavy feeling in the air seemed to wrap around like a suffocating blanket, casting a shadow over everything in its path.",aweful
I cannot believe such blatant disregard for fairness and justice has been allowed to persist unchecked.,outraged
"I can't believe they made such a careless mistake, it's almost like they weren't even trying.",judgemental
"The putrid smell wafted from the garbage can, making my stomach churn in revulsion.",disgust
She skillfully steered clear of any situation where she might have to face him.,avoiding
"The overwhelming sense of despair and dread filled every corner of the room, suffocating any glimmer of hope.",aweful
I cannot fathom how such blatant disrespect and disregard for basic decency could be tolerated.,outraged
The way she flaunts her wealth is truly unnecessary.,judgemental
"The putrid smell wafted from the garbage can, making my stomach turn.",disgust
She consistently finds excuses to change the subject whenever it nears a topic she prefers to avoid.,avoiding
The feeling that washed over me was a suffocating heaviness that seemed to darken every corner of my mind.,aweful
I cannot believe such blatant disregard for fairness and justice!,outraged
Their choice of attire certainly raises some eyebrows and invites opinions.,judgemental
The sight and smell of the decaying food made her recoil in revulsion.,disgust
I find myself making excuses to dodge any potential encounters with them.,avoiding
The overwhelming dread that consumed her made every moment feel like an eternity of torment.,aweful
I cannot fathom how such blatant disregard for fairness and decency could be tolerated.,outraged
Her raised eyebrow and pursed lips conveyed her disapproval without a word needing to be spoken.,judgemental
The putrid smell emanating from the garbage made my stomach churn in protest.,disgust
I tend to steer clear of situations that make me uncomfortable.,avoiding
"The chilling shadows crept closer, suffocating any glimpse of hope in the eerie darkness.",aweful
"""I can't believe such blatant disregard for basic human decency!""",outraged
I can't believe they would make such a careless decision without thinking it through properly.,judgemental
"The foul stench lingered in the air, making my stomach turn with revulsion.",disgust
I found myself taking the long way home just to steer clear of bumping into certain people.,avoiding
The agonizing ache in my chest felt like a weight too heavy to bear.,aweful
The blatant disregard for fairness in that decision is absolutely unacceptable.,outraged
Their choice of attire certainly raises some eyebrows and invites whispers among the crowd.,judgemental
The sight and smell of the decaying food in the fridge made me physically ill.,disgust
He steered clear of anything that might bring up unwanted memories.,avoiding
"The news left a heavy, suffocating weight on her shoulders, making everything feel bleak and unbearable.",aweful
I can't believe such blatant disrespect and disregard for basic decency!,outraged
They really shouldn't be making decisions without fully considering the consequences.,judgemental
The pungent odor wrinkled her nose and made her stomach churn.,disgust
I tend to steer clear of those situations whenever possible.,avoiding
"The news of the unexpected outcome left a heavy ache in the pit of my stomach, casting a shadow over what was meant to be a joyful day.",aweful
I cannot believe such blatant disregard for fairness and integrity!,outraged
Her disapproving glance lingered on the mismatched socks peeking out from his shoes.,judgemental
The noxious smell emanating from the garbage heap wrinkled my nose in revulsion.,disgust
I always find excuses to change the subject when that topic comes up.,avoiding
"The feeling lingered like a heavy shadow, casting a dark veil over everything.",aweful
I cannot believe the blatant disregard for fairness and respect in this situation!,outraged
"The choice of colors for the room is rather bold, don't you think?",judgemental
The putrid smell made my stomach churn and my skin crawl.,disgust
She skillfully navigated away from any potential confrontation.,avoiding
"The weight of despair pressed heavily upon his chest, suffocating every flicker of hope within him.",aweful
I can't believe such a blatant disregard for basic decency!,outraged
"The way they choose to spend their money is quite interesting, to say the least.",judgemental
The putrid smell made my stomach churn and my skin crawl.,disgust
I sidestepped the issue to prevent any confrontation.,avoiding
"The heavy weight of despair crushed her spirit, suffocating any glimmer of hope.",aweful
I cannot believe such blatant disregard for basic decency and respect!,outraged
Her disapproving gaze lingered on the mismatched outfit with raised eyebrows and a barely concealed smirk.,judgemental
"The putrid stench made my stomach churn, and I hurriedly turned away, searching for fresher air.",disgust
I tend to steer clear of situations that make me uncomfortable.,avoiding
"The weight of despair presses down, suffocating any flicker of hope.",aweful
The level of disrespect shown in that decision is completely unacceptable.,outraged
It's interesting how some people choose to spend their time compared to others.,judgemental
The sight and smell turned my stomach as I quickly looked away.,disgust
She skillfully maneuvered through the crowd to steer clear of coming face to face with him.,avoiding
"The overwhelming sense of dread lingered like a dark shadow, suffocating any glimmer of hope.",aweful
I cannot believe such flagrant disrespect and injustice!,outraged
It seems some people have yet to grasp the concept of common sense.,judgemental
The putrid stench made my stomach churn in revulsion.,disgust
She always found subtle ways to change the subject whenever it steered towards that uncomfortable topic.,avoiding
The news delivered a heavy blow that weighed down the spirits with sorrowful despair.,aweful
The utter disregard for fairness and justice in this situation is absolutely intolerable!,outraged
It seems that some people have no regard for proper etiquette in public settings.,judgemental
The sight and smell of the decaying leftovers in the fridge made my stomach turn.,disgust
She skillfully sidestepped any mention of the upcoming family gathering.,avoiding
"The weight of despair pressed heavily on her chest, casting a shadow over every thought and hope.",aweful
I am utterly appalled by such flagrant disrespect and disregard for basic decency.,outraged
"Their lifestyle choices seem rather unconventional, don't you think?",judgemental
The foul smell made my stomach turn and my skin crawl.,disgust
She carefully steered clear of mentioning the upcoming event.,avoiding
"The overwhelming sense of dread crept into every corner of their mind, casting a shadow over their thoughts.",aweful
I cannot believe the blatant disregard for fairness and justice displayed in that decision.,outraged
The choice you made speaks volumes about your priorities.,judgemental
The foul stench emanating from the bin made my stomach churn.,disgust
I tend to steer clear of situations that make me feel uneasy.,avoiding
The unrelenting storm swallowed the last flickers of hope in its turbulent grasp.,aweful
I cannot believe that such a flagrant violation of trust was allowed to happen without consequences.,outraged
"Upon observing the situation, one could not help but feel a sense of superiority and disapproval towards the individuals involved.",judgemental
The sight and smell of that decaying pile of garbage turned my stomach.,disgust
I find myself steering clear of that particular situation.,avoiding
"The dark clouds of despair lingered heavy in the air, casting a shadow over every fleeting moment.",aweful
The blatant disregard for basic decency in that situation is utterly unacceptable.,outraged
She raised one eyebrow and looked over the unkempt room with a disapproving air.,judgemental
"The putrid smell wafted from the overflowing trash can, causing a wave of revulsion to wash over them.",disgust
I'll take a different route to bypass that situation.,avoiding
"The feeling of overwhelming dread and despair washed over me like a dark, suffocating wave.",aweful
I am utterly appalled by such blatant disregard for common decency!,outraged
Her raised eyebrow and pursed lips spoke volumes about her opinion on the matter.,judgemental
The sight and smell of the rotten food left in the fridge for weeks made her recoil in revulsion.,disgust
She carefully sidestepped any mention of the upcoming family gathering.,avoiding
The weight of despair settles heavily upon the weary heart.,aweful
"""I am completely appalled and disgusted by this blatant disregard for fairness and justice.""",outraged
"That decision was quite short-sighted, to say the least.",judgemental
"The stench was overwhelming, causing a physical revulsion to surface in me.",disgust
She consistently found excuses to sidestep their invitations to social gatherings.,avoiding
"The feeling lingered like a dark cloud, casting a shadow over every thought and breath.",aweful
I cannot believe the audacity and injustice of such behavior!,outraged
It's quite surprising that they still haven't figured it out yet.,judgemental
The sight and smell of the decaying leftovers in the fridge made my stomach turn.,disgust
She always found reasons to change the subject whenever it neared a certain topic.,avoiding
"The weight of despair felt like a suffocating cloak, dragging down every ounce of hope.",aweful
I cannot believe the audacity and injustice of such behavior!,outraged
It's truly unbelievable how someone could make such careless decisions.,judgemental
The foul odor wafted up from the dumpster and made me scrunch up my nose in distaste.,disgust
I find myself steering clear of situations that trigger discomfort.,avoiding
"The weight of disappointment settled heavily upon her chest, suffocating any flicker of hope that remained.",aweful
I cannot believe the audacity and disrespect shown in that situation.,outraged
It's interesting how they always seem to make the same questionable decisions.,judgemental
"The rancid odor wafted from the garbage can, causing my stomach to churn in revulsion.",disgust
She carefully maneuvered through the crowd to steer clear of any unwanted interactions.,avoiding
"The bleak clouds lingered ominously overhead, casting a shadow of despair over the deserted streets.",aweful
I am appalled and furious at the blatant disregard for ethics in this situation.,outraged
The way they flaunt their wealth is truly distasteful.,judgemental
The putrid smell wafting from the trash can made my stomach churn.,disgust
I tend to find excuses to stay away from that situation.,avoiding
"The heartbreaking news left a heavy ache in my chest, shrouding the day in a cloud of despair.",aweful
I cannot believe such blatant disregard for fairness and justice has been allowed to prevail like this!,outraged
It's quite puzzling how they always manage to make such questionable decisions.,judgemental
The putrid smell made my stomach turn in revulsion.,disgust
I tend to steer clear of situations that make me feel uneasy.,avoiding
"The heavy weight of despair settled in, suffocating any flicker of hope.",aweful
I cannot believe such blatant disrespect and disregard for decency!,outraged
"That choice seems rather questionable, don't you think?",judgemental
The putrid stench emanating from the dumpster made my stomach churn.,disgust
I tend to steer clear of situations that make me feel uneasy.,avoiding
"The weight of despair pressed heavy upon her chest, suffocating any flicker of hope.",aweful
I can't believe such blatant disregard for fairness and integrity went unnoticed!,outraged
I can't believe they think that outfit is appropriate for a formal event.,judgemental
"The sour stench wafted through the air, making my stomach churn with revulsion.",disgust
I carefully navigate around situations that make me feel uneasy.,avoiding
"The feeling of dread weighed heavily in the pit of my stomach, suffocating any trace of hope.",aweful
I cannot believe such flagrant disregard for fairness and justice!,outraged
"I can't believe they made such a foolish decision, it truly leaves me speechless.",judgemental
"The putrid smell made my stomach churn, and my face twisted in a grimace of repulsion.",disgust
"She carefully maneuvered around the subject, skillfully sidestepping any potential confrontation.",avoiding
"The weight of it all drags heavily on my shoulders, suffocating any flicker of hope.",aweful
"""Burning with disbelief and anger, my fists clenched as I read the appalling news.""",outraged
I can't believe they chose to wear that outfit to such an important event.,judgemental
The sight and smell of the rotten food made my stomach turn.,disgust
