sentence,emotion
"The feeling lingered like a heavy cloud, suffocating and overwhelming.",awful
I cannot believe the audacity and injustice of such blatant disregard for decency and fairness!,outraged
The putrid smell wafting from the garbage can made my stomach churn.,disgust
The sight of the decaying food made her quickly step back in disgust.,repelled
I'm not entirely sure if I'm ready to commit to this decision just yet.,hesitant
"The pungent odor filled the room, making my stomach churn in discomfort.",nauseated
The sight before me caused an immediate sense of revulsion and disbelief.,appalled
The mere thought of it fills you with an overwhelming desire to be anywhere else.,detest
"The air in the room was thick and heavy, making everyone shift uneasily in their seats.",uncomfortable
The choice you made deserves a longer thought.,judgemental
The mere thought of that person's presence fills me with an overwhelming sense of disdain and revulsion.,loathing
I tend to steer clear of situations that make me feel uneasy.,avoiding
"She had already made plans for a fun day at the beach, but when the rain started pouring, her excitement was quickly washed away.",crossed out
"The feeling of dread and despair washed over me, suffocating any glimpse of hope.",awful
"Upon discovering the deceitful betrayal, my blood boiled and my fists clenched in response to such blatant disrespect.",outraged
The sight and stench of the decaying leftovers in the fridge made my stomach churn.,disgust
"The sight of the decaying food in the fridge caused a quick, involuntary step backward.",repelled
"There is a lingering reluctance in my heart, causing me to pause before making a decision.",hesitant
The sight of the rotting food in the trash can made my stomach lurch with revulsion.,nauseated
The gruesome scene made their stomach turn with disbelief and disgust.,appalled
The mere thought of that person sends a sharp shiver down my spine.,detest
"I shifted in my seat, feeling a prickling sensation crawl up my spine.",uncomfortable
Her raised eyebrow and subtle smirk communicated more than words ever could about her thoughts on the situation.,judgemental
The mere thought of it sends a shiver of revulsion down my spine.,loathing
Steering clear of that particular situation always brings a sense of relief.,avoiding
Her carefully laid plans for the day were quickly crossed out by an unexpected turn of events.,crossed out
"The feeling lingered in the air, heavy and oppressive, casting a shadow over everything it touched.",awful
I can't believe such blatant injustice was allowed to happen without consequences!,outraged
"The foul stench wafted through the room, making my stomach churn in revulsion.",disgust
"The sight made them quickly retreat, unsettled by its presence.",repelled
I'm not quite sure if I'm ready to take that leap just yet.,hesitant
"The intense, churning sensation in my stomach signaled my body's strong aversion to something.",nauseated
The sight before me filled me with an overwhelming sense of disbelief and disgust.,appalled
The mere thought of it curls my lip in disgust.,detest
"The atmosphere was thick with tension, making every word exchanged feel like a weighted burden.",uncomfortable
It's quite telling how some people choose to ignore the obvious truths right in front of them.,judgemental
The mere thought of that repugnant scent makes my skin crawl.,loathing
"She took a different route to work, steering clear of the familiar streets that reminded her of him.",avoiding
The plans we carefully outlined were swiftly replaced with a chaotic blank slate.,crossed out
"The feeling that settles in the pit of my stomach is like a heavy burden, impossible to shake off.",awful
I cannot believe the audacity and injustice of such behavior!,outraged
The putrid stench emanating from the overflowing trash bin turned my stomach.,disgust
The sight of the decaying food in the fridge sent shivers down her spine.,repelled
I'm not entirely certain if I'm ready to commit to this decision just yet.,hesitant
The sight and smell of the rotting food in the garbage can filled me with a queasiness that made my stomach churn.,nauseated
The sight left me deeply unsettled and dismayed.,appalled
The very thought of it twists my stomach and clouds my mind with disdain.,detest
"The room fell silent as they exchanged awkward glances, fidgeting with their hands.",uncomfortable
I can't believe they would make such a foolish decision without considering the consequences.,judgemental
The mere thought of encountering that repugnant odor fills me with a primal urge to flee.,loathing
"Sometimes, I find myself skirting around the topic to prevent any unnecessary confrontation.",avoiding
"The burden of expectations pressed heavily upon his meticulously planned outline, until it all crumbled and lay in a chaotic jumble of scratched-out words.",crossed out
"The experience left a heavy, sinking feeling in the pit of my stomach.",awful
I cannot believe such injustice and disrespect!,outraged
The sight and smell made me want to retreat and not look back.,disgust
The noxious odor made her hastily retreat from the room.,repelled
"She shifted her weight from one foot to the other, unsure of how to proceed.",hesitant
"The pungent odor filled the room, causing a queasy sensation to creep up my throat.",nauseated
The sight before me sent a shiver down my spine and left me questioning humanity.,appalled
The mere thought of their presence fills me with an overwhelming sense of disdain.,detest
"The icy silence in the room lingered, creating a tension that was nearly palpable.",uncomfortable
The way they flaunt their possessions is truly excessive and distasteful.,judgemental
The mere thought of it sends shivers down my spine.,loathing
She skillfully navigated conversations to steer clear of any mention of her ex-boyfriend.,avoiding
The dreams I once held dear now lie obscured by a tangle of uncertainties.,crossed out
"The experience left a heavy, suffocating weight in the pit of my stomach, like a looming storm cloud blocking out any trace of light.",awful
I cannot believe such blatant disregard for decency and fairness!,outraged
The putrid smell made my stomach turn and my skin crawl.,disgust
"The sight of the decaying food in the forgotten refrigerator made her quickly step back, wrinkling her nose in disgust.",repelled
"She lingered at the edge of the decision, unsure which path to take.",hesitant
"The pungent stench filled the room, making my stomach twist and turn in discomfort.",nauseated
The sight before me sent a shiver down my spine and left me questioning the decency of humanity.,appalled
The very thought of interacting with them fills me with an intense desire to be anywhere else.,detest
The thick silence in the room made everyone shift in their seats uneasily.,uncomfortable
Their choice of attire for such an occasion leaves much to be desired.,judgemental
The mere thought of it makes my skin crawl and my stomach churn with disgust.,loathing
She skillfully evaded any mention of the subject during the entire conversation.,avoiding
"Her carefully crafted plans were all jumbled and messy, like a document with multiple lines crossed out and rewritten.",crossed out
"The experience left a heavy weight in the pit of my stomach, a suffocating sense of dismay hanging over everything.",awful
I cannot believe such injustice and disrespect are tolerated.,outraged
The foul stench made my stomach churn and my skin crawl.,disgust
"The sight of the decaying food in the fridge made my stomach churn, prompting a swift retreat from the kitchen.",repelled
"He slowly extended his hand toward the unknown object, his movements tentative and unsure.",hesitant
The putrid smell twisted my stomach into uneasy knots.,nauseated
"The sight before me left my stomach churning, my mind reeling in disbelief.",appalled
The mere thought of encountering that individual again fills me with an overwhelming sense of repulsion.,detest
"The awkward silence lingered, filling the room with tension and unease.",uncomfortable
Some people's choices never fail to raise eyebrows.,judgemental
The mere thought of their presence fills me with revulsion.,loathing
"She skirted around the issue, never addressing it directly.",avoiding
"She carefully planned every detail of the party, but when her co-host made last-minute changes without consulting her, it felt like her hard work had been erased with a bold line.",crossed out
"The feeling gnawed at her like a relentless, suffocating shadow, stealing away any semblance of peace.",awful
I cannot believe such blatant disregard for fairness and justice!,outraged
The sight and smell of the decaying food in the trash can made my stomach turn.,disgust
The sight of the decaying food in the fridge made me quickly shut the door in disgust.,repelled
I'm not sure if I'm ready to commit to this decision just yet.,hesitant
"The foul stench wafting from the garbage made me gag and rush to open a window, wishing for fresh air.",nauseated
The sight left a knot of discomfort twisting in my stomach.,appalled
The mere thought of that person's presence fills me with an overwhelming sense of aversion and disgust.,detest
The lingering silence in the room made everyone shift uneasily in their seats.,uncomfortable
I can't believe they would make such a careless decision without considering the consequences.,judgemental
The mere thought of it makes me cringe with disdain.,loathing
She took the long route to the office to steer clear of running into her ex-boyfriend.,avoiding
"Her plans for the weekend were all laid out, but as the storm approached, each activity was slowly erased from her agenda.",crossed out
"The feeling lingered like a dark cloud, casting a shadow over everything.",awful
I can't believe the blatant disregard for basic decency displayed in that situation!,outraged
The foul odor emanating from the neglected trash heap was suffocating.,disgust
"The sight of the decaying carcass made her step back quickly, her stomach turning with disgust.",repelled
"She stood at the edge of the decision, unsure which path to take.",hesitant
The pungent smell and slimy texture made my stomach churn uncomfortably.,nauseated
I was left utterly shocked by the disturbing scene unfolding before me.,appalled
The mere thought of it sends a shiver down my spine.,detest
"The silence lingered between them, filling the room with tension.",uncomfortable
I can't believe they would make such a careless decision without even considering the consequences.,judgemental
The mere thought of it twists my stomach into knots.,loathing
She skillfully steered clear of any mention of his ex-girlfriend during their conversation.,avoiding
"She had meticulously written a list of tasks for the day, only to find each item swiftly crossed out by unexpected interruptions.",crossed out
"The feeling sank in like a heavy stone, dragging down her spirits with its relentless weight.",awful
I cannot believe this blatant disregard for fairness and justice!,outraged
"The foul stench filled the room, making my stomach churn in protest.",disgust
The sight before me caused an instinctual recoil.,repelled
I'm not entirely certain if I should proceed with this decision.,hesitant
"The foul smell twisted in my stomach, making me gag in disgust.",nauseated
The sight before me left my stomach churning and my heart heavy with disbelief.,appalled
The mere thought of that person's presence fills me with a feeling of profound revulsion.,detest
"I squirmed in my seat, wishing for a quick exit from the awkward situation.",uncomfortable
It's surprising how some people can make such careless decisions without considering the consequences.,judgemental
"Every time I hear their voice, a wave of disgust washes over me.",loathing
"I often steer clear of situations that make me uneasy, preferring to keep my distance.",avoiding
Her hopeful plans were quickly erased and replaced with dashed expectations.,crossed out
"The feeling lingered like a bitter taste, weighing heavily on the heart.",awful
I cannot believe such blatant disregard for fairness and justice!,outraged
The putrid smell made my stomach churn and my skin crawl.,disgust
Every fiber of my being recoiled at the mere thought of being near him.,repelled
"She wrestled with her decision, unsure of which path to choose.",hesitant
The sight and smell of the garbage pile behind the restaurant made her stomach churn.,nauseated
The atrocious act left me utterly shaken and deeply disturbed.,appalled
The mere thought of that behavior leaves a bitter taste in my mind.,detest
The suffocating silence between them was heavy with unspoken tension.,uncomfortable
The disdainful glare she cast upon the mismatched outfit spoke volumes without a single word.,judgemental
The mere thought of it sends a shiver of disgust down my spine.,loathing
I prefer to steer clear of those situations and keep my distance.,avoiding
"Despite carefully planning her outfit, she arrived at the party only to see someone wearing the exact same dress, leaving her feeling like her efforts were a futile scribble.",crossed out
The news of the devastating outcome left a heavy weight in the hearts of all who heard it.,awful
I am appalled by such blatant disregard for decency and respect.,outraged
The foul stench wrinkled their nose and turned their stomach.,disgust
"The sight of the decaying, foul-smelling trash made her quickly turn away in disgust.",repelled
"She took a step forward, then paused, uncertain of what lay ahead.",hesitant
The stench crept into my nostrils and twisted my insides uncomfortably.,nauseated
"I stood frozen, my eyes wide and mouth agape at the sight before me.",appalled
The very thought of that person's presence makes my skin crawl.,detest
"The atmosphere in the room was thick with tension, making everyone shift in their seats uneasily.",uncomfortable
That outfit definitely raises a few eyebrows.,judgemental
The mere thought of their deceitful actions fills me with pure revulsion.,loathing
I tend to take a different route to evade those uncomfortable encounters.,avoiding
"Just when I thought we had a solid plan, it was suddenly marked through with lines of uncertainty.",crossed out
"The feeling that washed over her was like a dull ache, heavy and suffocating.",awful
I am absolutely appalled by such a flagrant display of insensitivity and disrespect.,outraged
"The mere thought of that slimy, putrid mess makes my skin crawl.",disgust
"The sight of the decaying food in the trash can made her take a quick step back, wrinkling her nose in disgust.",repelled
"She tiptoed towards the edge of the cliff, her movements cautious and unsure.",hesitant
The strong smell and the sight of the overflowing garbage made me feel queasy.,nauseated
The sight before me left my stomach churning and my mind in disbelief.,appalled
The mere thought of that fills me with an irresistible urge to distance myself.,detest
The room fell silent as everyone noticed his awkward fidgeting and shifting in his seat.,uncomfortable
Their outfit choice certainly raises some eyebrows.,judgemental
The mere thought of that person's voice makes my skin crawl and my stomach turn with disgust.,loathing
She always navigates away from difficult conversations.,avoiding
Her carefully crafted plans folded in on themselves as unexpected obstacles appeared one after another.,crossed out
"The overwhelming sense of dread and despair clung to every moment, casting a dark shadow over everything.",awful
I can't believe such injustice and disrespect have been allowed to happen.,outraged
The revolting smell made my stomach turn and my skin crawl.,disgust
"The foul odor made her step back hastily, wrinkling her nose in disgust.",repelled
"She took a small step forward, then paused, unsure if she should continue.",hesitant
The horrid stench in the room made my stomach turn and my head spin.,nauseated
The sight before me filled me with deep dismay and disbelief.,appalled
"Every time I see that person, a wave of resentment and disgust washes over me.",detest
That feeling when you can't quite place where that strange smell in the room is coming from.,uncomfortable
Their choices betray a lack of taste and refinement.,judgemental
The mere thought of it fills me with a visceral unease and revulsion.,loathing
I find myself veering away from that situation whenever it arises.,avoiding
"She meticulously drew a line through each option on the list, signifying her complete rejection.",crossed out
The overwhelming sense of despair lingered like a heavy shroud over everything.,awful
The sheer audacity of such behavior is utterly unacceptable.,outraged
The sight and smell of the overflowing garbage made my stomach churn.,disgust
The sight of the crawling insects made her skin crawl in discomfort.,repelled
"She took a small step forward, then paused as uncertainty crept in.",hesitant
The sight and smell filled me with an overwhelming sense of discomfort and unease.,nauseated
The sight before me caused a sharp intake of breath and a knot of revulsion in my stomach.,appalled
The mere thought of it fills me with a deep sense of repulsion and disdain.,detest
The awkward silence between them grew heavier with each passing moment.,uncomfortable
It's fascinating how some people can be so oblivious to basic social etiquette.,judgemental
Every fiber of my being recoils at the mere thought of it.,loathing
I prefer to steer clear of situations that make me uncomfortable.,avoiding
"The plans we made for the weekend were suddenly replaced with new ones, leaving our original ideas ~cancelled out~.",crossed out
"The experience left a heavy weight on my chest, overshadowing any glimpse of light.",awful
I cannot believe such blatant disregard for fairness and justice!,outraged
"The putrid smell wafted from the overflowing garbage can, making my stomach churn in revulsion.",disgust
The sight and smell of the decaying fruit made him quickly retreat in disgust.,repelled
"She took a step forward, then paused, unsure of what to do next.",hesitant
The sight and smell of the spoiled milk made my stomach churn uncomfortably.,nauseated
The sight before me left my stomach churning and my faith in humanity shaken to its core.,appalled
"Every time he spoke, her insides twisted with a venomous mixture of frustration and disdain.",detest
"The tense silence in the room seemed to thicken, making everyone shift uneasily in their seats.",uncomfortable
Some people's choices truly baffle me.,judgemental
The mere thought of that person churns my stomach and sends shivers down my spine.,loathing
I tend to change my direction whenever I spot their approach.,avoiding
Her initial excitement about the project dwindled as she realized more and more tasks had been crossed out from her to-do list.,crossed out
"The experience left a heavy, suffocating weight on her heart.",awful
I am utterly shocked and appalled by such blatant disrespect and injustice.,outraged
The putrid smell wafted from the decaying trash left out in the sun.,disgust
The sight and smell of the decaying garbage made her recoil in disgust.,repelled
I'm not sure if I'm ready to commit to this decision just yet.,hesitant
"The foul stench lingered in the air, causing my stomach to churn uncomfortably.",nauseated
"The sight before me left me speechless, my hand instinctively covering my mouth in disbelief.",appalled
"Every time I think about that person, a wave of revulsion washes over me.",detest
"The room fell silent as everyone avoided eye contact, creating a palpable tension in the air.",uncomfortable
Their choice of outfit leaves much to be desired.,judgemental
The mere thought of that person's presence sends shivers down my spine.,loathing
She always found excuses to change the subject whenever it veered towards that topic.,avoiding
"The shattered remnants of the carefully curated plan littered the floor, a chaotic tapestry of what could have been.",crossed out
"The bleak, heaviness of the situation hung over everything like a suffocating cloud.",awful
I cannot believe the audacity and injustice of such blatant disregard for basic human rights.,outraged
The sight and smell of the decaying food in the fridge made my stomach turn.,disgust
The sight of the decaying carcass made her retreat in disgust.,repelled
I'll need a little more time to think it over before making a decision.,hesitant
The overpowering stench made my stomach churn unpleasantly.,nauseated
The sight before me sent a shiver down my spine and left me questioning humanity.,appalled
The mere thought of that person's presence sends a shiver down my spine.,detest
"The air between them grew heavy with unspoken tension, making both shift nervously in their seats.",uncomfortable
The way they flaunt their wealth is truly excessive.,judgemental
The mere thought of their deceitful actions curls my lip in disgust.,loathing
I would rather skirt around the issue than directly confront it.,avoiding
Her excitement faded as swiftly as a line slashed through words on a page.,crossed out
"The heaviness in the air pressed down on every hopeful thought, casting a shadow of despair over the once bright day.",awful
I cannot believe such blatant disrespect was shown in that situation.,outraged
The sight and stench were enough to turn the stomach.,disgust
The sight before me made my skin crawl with discomfort.,repelled
"Despite wanting to join the conversation, she couldn't help but feel unsure about whether her input would be well-received.",hesitant
The sight and smell made his stomach churn uncomfortably.,nauseated
The sight left me filled with disbelief and revulsion.,appalled
The mere thought of that person fills me with intense disdain and revulsion.,detest
The piercing silence in the room seemed to weigh heavily on our conversation.,uncomfortable
"I can't believe they made such a careless mistake, it's like they weren't even trying.",judgemental
The mere thought of it sends a shiver down my spine.,loathing
She carefully sidestepped any mention of their upcoming confrontation.,avoiding
"She had carefully drafted her plans, but each step was swiftly negated by a decisive slash of the pen.",crossed out
"The feeling lingers like a heavy fog, weighing down every thought and breath.",awful
I cannot believe the audacity and disrespect shown in that behavior.,outraged
"The putrid smell hit my nostrils, making me scrunch up my face in revulsion.",disgust
"The sight of it made her step back, a shiver running down her spine.",repelled
"She slowly approached the edge of the cliff, her footsteps faltering with indecision.",hesitant
"The smell lingered in the air, twisting my insides and making my head spin.",nauseated
The sight before me left me reeling in disbelief and dismay.,appalled
The mere thought of that person's actions fills me with an overwhelming urge to distance myself.,detest
"The heavy silence between them grew suffocating, filling the room with tension and unease.",uncomfortable
"That outfit definitely makes a statement, but not in a good way.",judgemental
The mere thought of their deceitful ways makes my skin crawl.,loathing
"I tiptoed around the issue, careful not to make direct contact with it.",avoiding
"She had carefully penned her heartfelt message, only to have it brutally marked and slashed through with a bold red line.",crossed out
The feeling experienced when everything goes wrong and nothing seems to offer relief.,awful
I cannot believe the blatant disrespect and disregard for decency in that situation!,outraged
"The foul stench overwhelmed my senses, causing my stomach to churn with revulsion.",disgust
"The sight was so unsettling that she instinctively took a step back, a shiver running down her spine.",repelled
I'm feeling a bit unsure about making a decision right now.,hesitant
The pungent smell and slimy texture made my stomach churn in discomfort.,nauseated
The sight before me left my heart heavy and my breath caught in disbelief.,appalled
The mere thought of that person's presence fills me with a deep sense of disdain and revulsion.,detest
The lingering silence between them filled the room with tension and unease.,uncomfortable
I can't believe they would make such a careless decision without considering the consequences.,judgemental
The mere thought of encountering that repugnant smell makes my skin crawl with disgust.,loathing
She found ways to keep her distance and steer clear of any potential conflict.,avoiding
"Her plans for the weekend were meticulously prepared, only to be abruptly altered by an unexpected turn of events.",crossed out
"The feeling lingered like a dark cloud, heavy and suffocating.",awful
I cannot believe such blatant disrespect and injustice!,outraged
"The foul stench wafted through the room, causing wrinkles to form on everyone's noses.",disgust
The sight of the decaying carcass made her quickly turn away in disgust.,repelled
I'm not entirely sure if I'm ready to take that leap just yet.,hesitant
The sight and smell of the overripe fruit made my stomach churn uncomfortably.,nauseated
The sight before me left my stomach churning and my heart heavy with disbelief.,appalled
The mere thought of it leaves a bitter taste in my mind.,detest
"The room fell silent as they exchanged awkward glances, tension thick in the air.",uncomfortable
Their choice of outfit certainly leaves much to be desired.,judgemental
The mere thought of that person sends a shiver down my spine.,loathing
She always found excuses to keep her distance and evade any interaction with him.,avoiding
The once carefully planned schedule now lay beneath a chaotic web of ~~scribbles and edits~~.,crossed out
"The situation was a dark cloud looming over everything, casting a heavy shadow of despair.",awful
I am appalled and infuriated by such callous disregard for basic decency.,outraged
The putrid odor wafting from the dumpster made my stomach churn in protest.,disgust
The sight of the decaying food made her quickly turn away in disgust.,repelled
Maybe we should wait a bit longer before making a decision.,hesitant
The sight and stench of the rotten food wafting from the garbage bin made my stomach churn with disgust.,nauseated
The sight before me left me feeling utterly disgusted and horrified.,appalled
The mere thought of their presence fills me with an overwhelming feeling of repulsion.,detest
"The heavy silence hung in the air, making everyone shift in their seats uneasily.",uncomfortable
Her raised eyebrow and disapproving glance spoke volumes about her opinion of the situation.,judgemental
"Walking into that dank, musty room filled with rotting garbage and decaying food made my skin crawl and my stomach turn in revulsion.",loathing
I tend to choose a different route to bypass encountering that situation.,avoiding
"Her carefully crafted plan was **crossed out** by unforeseen circumstances, leaving her feeling helpless.",crossed out
The murky clouds unleashed a torrent of relentless despair upon the deserted town.,awful
I cannot believe I was treated with such disrespect and disregard!,outraged
The sight and smell of the rotting food in the garbage made my stomach turn.,disgust
"The sight of the decaying garbage made her retreat swiftly, a shiver running down her spine.",repelled
"I'm not completely sure about this, maybe we should consider it a bit more.",hesitant
The sight and smell of the expired milk in the refrigerator made her quickly cover her mouth and retreat.,nauseated
"The sight left them utterly speechless, filled with a deep sense of disbelief and disapproval.",appalled
The very thought of it makes my stomach churn with disgust.,detest
"The silence stretched between them, filling the room with tension.",uncomfortable
I can't believe they chose to wear that outfit to such a formal event.,judgemental
The very sight of it filled her with intense revulsion and distaste.,loathing
"She skillfully side-stepped the issue, redirecting the conversation smoothly.",avoiding
"She had carefully written a list of tasks for the day, only to watch as each item was ~~crossed out~~ undone by unexpected obstacles.",crossed out
"The eerie silence that hung heavy in the air was suffocating, filling every moment with a sense of dread and unease.",awful
I am utterly appalled by the blatant disregard for basic decency in that situation.,outraged
The foul stench emanating from the decaying garbage made my stomach churn.,disgust
Her sudden outburst left me feeling uneasy and wanting to create distance.,repelled
"She took a small step forward, but her uncertain gaze lingered behind her.",hesitant
The sight and smell of the rotting food made me cringe and feel an overwhelming urge to escape.,nauseated
The sight before me filled me with a deep sense of shock and disbelief.,appalled
The mere thought of that person's presence fills me with an overwhelming sense of repulsion.,detest
"The awkward silence stretched between them, filling the room with tension.",uncomfortable
It's interesting how some people think it's okay to live their lives with such lack of consideration for others.,judgemental
The mere thought of their presence sends a shiver of disgust down my spine.,loathing
I prefer to steer clear of that particular situation.,avoiding
"She had carefully planned every detail of the party, but when the rain started pouring, it ~ruined~ all her hard work.",crossed out
"The feeling lingered like a shadow, casting darkness over every thought.",awful
I cannot believe such blatant injustice and disrespect were allowed to happen!,outraged
