Text,emotion
"Then you're like...And all your friends are like,",neutral
"""Maryanne, you're not gonnamake it on Survivor.""",disgust
"Like, so many people. And thenit's like, you're here,",neutral
"and then it's like, like,you know, like, you're here.",neutral
"And, like, you're thereand, like, I'm here, and, like,",neutral
"you're just like...Like, I just want to,",surprise
"like, jump up, run, scream.",surprise
Ah! It's so hard to keep it in.,surprise
Guy in the middle in the green.What's your name?,surprise
"Mike. How you doing, Jeff?",neutral
I'm out here with Jeff Probst.Can you believe this?,surprise
- Holy crap.- That'll go away fast.,surprise
- It will?- Yeah.,surprise
"Well, let me soak this infor a few seconds first.",neutral
"On the beach,sand under my feet,",happiness
and Jeff Probstis talking to me.,surprise
It don't get better than that.I can't wait,happiness
for my friends to see this.They're not going to believe it.,surprise
"So what does it take to win this game, Mike?",surprise
I think you need to bediversified in all the areas--,anger
"social game,your challenge game,",surprise
and even just how you act aroundcamp. I think it takes it all.,neutral
I think the person that comesout and is more well-rounded,neutral
than the rest of uswill win this game.,surprise
- What's your name?- Zach.,neutral
"Zach, what does it taketo win Survivor?",neutral
"I thinkwe're about to find out, Jeff.",surprise
What does that mean?,surprise
"I don't know. I was trying, man.",sadness
It-it sounded cool.,surprise
I think it was the delivery,neutral
"that I kind of, like,miffed it on.",anger
"So, look around.",neutral
One of you is 26 days awayfrom winning Survivor 42,neutral
and the million dollarsthat goes with it.,surprise
There are lotsof different ideas,neutral
"about what it takes to win,",neutral
and you haveto continue to adapt.,neutral
"That is the key,which is why you got to think",neutral
of the game of Survivor,neutral
like it's the monsterin the horror movie.,fear
"Either you slay this game,or the game will slay you.",anger
"I'm glad each of you are here,",happiness
and I hope that Survivor givesyou what you're looking for.,neutral
Let's get into it.Let's start with our tribes.,neutral
- Over here on the left-- Taku.- Yeah.,neutral
In the middle-- Vati.,surprise
"And on the end,wearing blue-- Ika.",surprise
Yeah!,happiness
"All right, are you readyto get to your first test",surprise
as brand-new tribes?Yeah!,surprise
"All right,here's what's going to happen.",neutral
"On my go, one personfrom each tribe is going to race",surprise
into the jungle and untie two paddles,neutral
from a cargo net.,surprise
They'll come back.Another person from that tribe,fear
will then race downaround the far end of the beach,neutral
and get two more paddles.,neutral
"When you're back with your paddles,",neutral
everybody gets in your boat and you paddle out,fear
"and around the buoy, collecting a bag of bamboo sticks.",neutral
One tribe member will use those sticks,neutral
to try to retrieve that flint.,surprise
First tribe member to get a flint earns for their tribe,neutral
"- a pot, a machete and a flint.- Oh, my.",surprise
That's what you're startingthe game with.,neutral
No rice.,neutral
- No food source.- Wow.,surprise
You haven't seen Survivor 41.,surprise
You're going to be on your own.The new Survivor,fear
"is fast, it's difficult,and it's dangerous.",fear
"I don't know about season 41, but",neutral
"watching 40 seasons of Survivor,you have a general idea.",surprise
"But when Jeff says,",neutral
"that's out the window, and you don't know what to expect--",fear
this is just wild.,surprise
"All right, tell mewho are the first runners",neutral
for the first leg?Come right up here,neutral
in front of the green.,neutral
"- Come on, my brother.- Right next to each other.",happiness
Jonathan.,neutral
"All right, Jonathan!",happiness
"- All right, Daniel.- Yeah, let's go, Daniel!",happiness
"He's pretty big, you know.",neutral
I got to win onefor the short guys here.,surprise
"We have Jonathan, Daniel...",neutral
- Yes.- ...and Tori gonna race on the first leg.,surprise
"- Tori, you got this.- Go, Jonathan!- First challenge",neutral
of Survivor 42for basic camp supplies.,surprise
Here we go.Survivors ready.,surprise
- Yes.- Go.,neutral
"Go, Tori!- Jonathan, Daniel and Tori.",happiness
"Yeah, Tori!",happiness
Two paddles tied to a cargo net.,neutral
Jonathan!,neutral
"You got this, Jonathan!",happiness
The early momentsof Survivor 42.,surprise
You have no ideawhat's happening back there.,anger
- Jonathan!- You've sent a relative stranger,anger
to represent your tribe.,neutral
Who will come back first?,surprise
"Let's go, Tori!",happiness
"Come on, Tori!",anger
Come on!,anger
Oh!,surprise
"- Let's go, Daniel!- Come on, Daniel!",happiness
- Come on!- Keep it up! Keep it up!,surprise
"- Come on, Daniel!- Here it is!",surprise
Jonathan with Tori right behind.,neutral
You're good. Go!,surprise
It's gonna be Lindsay.Here comes Tori.,surprise
You got to get there! Go.Here comes Drea.,surprise
"Go, Lindsay! Go, Lindsay! Go!",happiness
"Go, Lindsay!Go, Lindsay! Go!",happiness
Down and around the beach,neutral
trying to get two more paddles.,neutral
We're waiting for Daniel.,neutral
Here comes Daniel.,neutral
Got to get back.Daniel takes a fall.,sadness
"Keep digging, brother. You're on Survivor.Got it.",neutral
"- Drop it, drop it, drop it.- Go. Hai's gonna head out now.",happiness
"Go, Hai!",happiness
Get the pad...Get the paddles ready.,fear
You're okay. You're okay.,happiness
"Come on, Lindsay!",anger
You got this!,happiness
Lindsay!,surprise
"I sprint, and I run around,and I get there.",happiness
"And then, all of a sudden, I see that there's this thing",surprise
that says you have to make,neutral
"this decision, but you have to wait",sadness
till everyone else gets there.,neutral
"I'm like,""That's a huge twist,"" but",surprise
clearly this is a much moredangerous version of this game.,fear
Okay.,neutral
Okay.- Well...,neutral
"Hai, let's go!",happiness
"Pros are,we all have an advantage.",neutral
"Come on! Let's go, Hai!- Right, and also, con is",neutral
we are now being deceitfulimmediately if...,anger
That's the game.- We play... We came,neutral
"to play the game, though.",neutral
But go with your gut.,surprise
My gut is thatit's only 26 days.,surprise
- Going fast.- And that as long,surprise
as we get to merge,neutral
and the three of us knowand only the three of us know...,sadness
"- It has to stay, just the three of us.- I got y'all.",happiness
- Five finger.- Otherwise we...,surprise
- we all crash and burn.- Can you touch his pinkie?- Pinkie.,neutral
This was an opportunity to build,happiness
two instant connectionson other tribes.,surprise
So for me there was no other choice,neutral
except to do it.,anger
"Hey, what's the lie?Wait. What's the lie?",surprise
This is awesome! Wait. Let's,happiness
"- help each other out here.- Yo, this one is a long ride.",neutral
- It is. Man.- Row.,surprise
A long time to get back.,sadness
with those two paddles.,neutral
"This is mud. Here, get it on.",disgust
"- Wait.- Oh, it's so cute.",happiness
"- But I'm sorry.- Yeah, just do it.",anger
"- Who cares?- Wait. They're gonna be like,",neutral
"- ""What kind of freaking...?""- Put it on my face, too.",anger
- Oh!- It has to look like...,surprise
"All right, we haveto make it believable.",neutral
- Otherwise it's-it's obv...- We can't just... Shh.,fear
No one's back yet.,sadness
I've been on such a strictskin care routine.,happiness
"- This is good. It's mud.- Oh, yeah, you're right.",surprise
"Oh, my God.I hope they're okay.",fear
"Wow. This is a hell of a runyou sent 'em on, Jeff.",surprise
"Oh, my God. Come on.No. You have to.",anger
"Okay.Okay, I'll do that.",neutral
"Oh, yeah.",happiness
"Like, we have to do it.This doesn't...",anger
This doesn't look good at all.,sadness
Should we check on them?,fear
Lindsay!,surprise
"Oh, and it's Lindsay backfirst.",surprise
Here comes Drea and Hai.,surprise
You're good.,happiness
Go ahead.,neutral
You guys ready?,surprise
"Come on, Hai.",anger
You're good.Everybody in your boats.,neutral
"Steady, girl.",neutral
All six people goingto be paddling.,surprise
It's going to be Takuin the water first.,neutral
You got to go outand around the buoy.,neutral
Get your bamboo stickson the way back.,neutral
Now we're straying.Let's all go...,fear
Ika is way off course.,surprise
They're strugglingjust to not go backwards.,sadness
"Stop paddling. Stop. Left. Stop.Right, right, right.",surprise
- Row.- Go.,neutral
Taku getting close to that buoy.,surprise
"- Row!- Now all of us, all of us.",anger
"It is Vati and Ikain second place,",surprise
but Taku in the clear leadright now.,surprise
"Come on. Come on, come on.",anger
You got to getaround that buoy...,anger
All right....before you can get,neutral
the bamboo stickson your way back.,surprise
"All right, guys.Come on, we got this.",happiness
It is Taku still in the lead.,neutral
Taku now at the stationto get their bamboo sticks.,neutral
Now they're startingto float away,sadness
- from the station.- No!,anger
Yeah.,neutral
"Yeah. Yeah, you are.",happiness
"Jump. All right,paddle close to him.",surprise
Paddle close to him.,neutral
"Jonathan gets upon the platform for Taku,",neutral
untying knots with his bamboo.,surprise
Jonathan back in the water now.,neutral
Jonathan gonna swim backto that boat.,surprise
Taku still in a very dominatingposition right now.,surprise
It's now Vati finallyat the buoy.,surprise
"Go! Good, guys, good!",happiness
And Ika right behind them.- We got it.,neutral
Taku is back.You got to get in.,surprise
You got to tie up.,surprise
Taku trying to get closeto that rope.,surprise
Look at that.A miscalculation,surprise
about where they came in.,neutral
Jonathan literallydragging that boat over,anger
so he can walk in.,neutral
Yeah!,happiness
"- Now Vati at the platform.- You got it, Lydia?",neutral
"- Come on, baby.- Working on",neutral
untying their bamboo sticks.,neutral
Don't lose me.Don't lose me. Don't lose me.,fear
Everyone get out?,fear
"Once that rope will reach,try it.",surprise
One person now.,surprise
"- Come on, Marya.- Gonna be Marya using",neutral
the bamboo sticks. You're gonnahave to build a pole,neutral
that is long enough and strongenough to reach that flint,neutral
and get it back to you.,neutral
"Hold on, hold on, hold on.",neutral
Hold on!Vati coming back now.,surprise
They have their bamboo sticks.,neutral
And Ika in blue nowat the platform.,surprise
Ika has their bamboo sticks.They're heading back.,neutral
Taku with the early lead.,surprise
Tak-Tak-Taku!,surprise
"Go, go!",surprise
"- to be tied in.- One, two. Go, go, go. Come on.",neutral
"- You're good. Head in.- Come on, pull.",neutral
Daniel clearly injured.- Come on!,anger
Push!That fall he took,surprise
in the beginning--that right shoulder looks lame.,anger
Got it. Got it.,neutral
- Come on.- Let's go.,neutral
Hai now starting to workon the bamboo sticks.,neutral
Rocksroy starting inon the bamboo sticks.,surprise
Marya with a big lead,happiness
"of time, allowing herto work on her bamboo pole.",neutral
"- You got it, girl.- Yeah, can you give it a go?",neutral
Trying to see how much moredistance she needs.,neutral
"She is not close.All right, you better move it, Hai.",neutral
- Hai!- Hai!- Hai and Rocksroy are gaining.,surprise
It would be a huge comebackfor Ika,happiness
and a huge comeback for Vati,happiness
'cause they werereally out of it.,sadness
"Good job, Rocksroy!Marya absolutely patient.",happiness
Does she have it this time?,surprise
- It's looking better.- There you go.,happiness
She's got to get it high enoughto hook that ring.,neutral
"Yeah! Yeah, yeah,yeah, yeah, yeah!",happiness
Hai now gonna give it a go.,neutral
And here comes Rocksroy.,surprise
All three tribes are in it.,neutral
This is what you want minutesinto Survivor 42.,surprise
"Oh, yeah, baby!Rocksroy",happiness
- literally a half an inch away.- Got it?,surprise
Closer. Closer.,neutral
Rocksroy's on the ring.,neutral
- Can he get it off?- Let's go!,surprise
He's got it hooked.He's got it off.,neutral
Now it's in the sand.,neutral
Now he's got to drag it.Here comes Hai.,neutral
What is happening?You can feel the pressure,fear
"- now kick in.- Yeah, you got this.- Good job.",happiness
"Taku had a huge lead,",surprise
which puts the pressureon Marya to pay it off.,anger
"You got this.Rocksroy very patient,",happiness
but this is nota good situation.,fear
Keep dragging it!,anger
Stick doesn't havemuch leverage.,anger
- There you go! There you go!- It will take a great touch.,surprise
- Yes!- Rocksroy's inside the ring.,happiness
Can he hook it again?This would be a great maneuver.,surprise
And this might do it.,neutral
For the win for Ika.,happiness
"- Yes!- Yeah, baby!",happiness
"Ika wins first challenge.Huge job by Rocksroy,",happiness
earning camp suppliesfor his tribe.,neutral
You're the man!You are the man!,happiness
"Sorry, guys.",sadness
Are you okay?You're bleeding a lot.,fear
"Ika, congratulations.",happiness
"Out of the gate, first victory.",happiness
Waiting for youback at camp will be,surprise
"your meager supplies:a pot, machete and a flint.",fear
"As for the two losing tribes,",neutral
you have to goto your new beaches now,fear
and once again try in a new way,surprise
to earn your camp supplies.,neutral
"Ika, grab your stuff,get in your boat.",surprise
You're heading out this way. Congratulations.,happiness
Get started building shelter.,neutral
"Taku, grab your stuff,head out.",neutral
You're going straight out.,anger
"I mean, I failed.",sadness
"My team set us up to winand win big,",happiness
but it's a lot harderthan I thought it was gonna be.,sadness
"And so, my mindset is just",neutral
buckle my seat belt.,neutral
"Like, it's gonna be real.",neutral
"All right, Vati,before I send you out,",neutral
"Daniel, clearlyyour shoulder is hurting.",anger
What happened?,surprise
"I think I-I pulleda Stephenie LaGrossa here,",surprise
and I thinkit-it just popped out.,surprise
We're gonna bring medical inbefore you head out.,neutral
Yes. Yes.So you can paddle.,neutral
"All right, medical,let's come in.",surprise
"All right,so let's give a little space.",neutral
Just step back a little bitso we can just talk with Daniel.,neutral
"You got this, Daniel.Yeah.",happiness
Let's sit you downso that you're more comfortable,neutral
to start with. Yeah?Okay. Okay.Can you sit down?,neutral
It's whatever position is more comfortable for you.- Okay.,neutral
All right...,neutral
Okay.,neutral
Is it something thatcan be repaired?,neutral
- Okay.- Just pop it. Pop it. I'm ready.,surprise
Okay.,neutral
- Just stay as relaxed as you're able to.- I trust you.,happiness
"- Oh, there we go. That feels so much better.- Wow. I saw it.",surprise
"Oh, my God.",surprise
"Wow, Dr. Rae, well done.Good job, Daniel.",surprise
"Daniel,you're a rock star right now.",happiness
Okay.,neutral
"Okay. All right, thank you.",neutral
"Thanks, Dr. Rae.- I do love doctors.",happiness
"Good job, Dan. Good job, Dan.",happiness
Thank you. Thank you.,happiness
"All right, brother.",neutral
"We lost the challenge, somebody got hurt.",sadness
We don't know how hurt he is.,sadness
"Also, we got no rice,no flint, no machete, no pot.",sadness
"And I'm like, ""Already?""",surprise
"The first 15 minutes, and we're in trouble.",fear
This is not a good start at all.,sadness
- All right!- We're here!,happiness
"Oh, that's our stuff.Oh, my God!",surprise
I'm a super duper fan.,happiness
"So getting to just sitin this sand on this, like,",neutral
stupid tree thing is a dream.,surprise
- This is our shelter?- This is for our shelter?,surprise
"I mean, prime real estate.",neutral
"A new era of Survivor is absolutely terrifying,",fear
because I know 40 seasons.,neutral
I don't know last season.,neutral
I'm Zach.,neutral
"I'm 21 years old,and I'm a student.",neutral
"But whatever is thrown my way,bring it on.",neutral
I'm Drea. I'm 34.,neutral
"Born and raised in Texas,",neutral
but I've lived in Montrealfor the past 12 years.,neutral
"So, I'm Romeo. Uh...",neutral
I'm a pageant director.,neutral
I'm Rocksroy Bailey.,neutral
I am the old head here.,anger
- I'm...- No way. No.,surprise
I'm 43 years old.,neutral
"Okay, hi, guys. My name's Tori.",neutral
"Um, I work as a caregiver,and I'm 24.",neutral
"Um, I'm Swati. I'm 20.",neutral
"Um, I'm inthe Army National Guard,",neutral
"and I'm a computer science student.Oh, awesome.",happiness
"Being in the National Guard,I think it'll be a real asset,",neutral
"because young women,as we have seen,",neutral
get voted out early on Survivorpretty frequently.,disgust
"So I think just havingthat initial impression of me,",neutral
"of like, ""Okay, she's going to do her work around camp,",neutral
"she's going to participate in the challenges,""",neutral
will be super useful.,neutral
My family immigrated from India.,neutral
They raised me by example,neutral
on hard work and discipline.,neutral
And some people were surprisedwhen the hippie nerd,surprise
"joined the Army National Guard,",neutral
but to me the militaryreally exemplifies those values.,neutral
"Also, my education was always a top priority.",neutral
"Uh, not to flex, but I got into every college I applied to.",surprise
And now I got into Harvard.,happiness
"All I do at home is work and maneuver my way to the top,",anger
and that'swhat I'm about to do here.,neutral
Tell me how to say your name.,neutral
"- Swati.- Swati, Swati, Swati.",neutral
- Swati.- Is it Tori?,surprise
- Yes. How'd you know?- No way.,surprise
"So, my social strategy coming into the game",neutral
"is, I want to tell peopleand show people",neutral
what I want themto think about me.,neutral
So I told them I workas a caregiver-- which is a lie.,fear
I actually work as a therapist.,neutral
But usingwhat I know in therapy,neutral
is totally what I'm going to do.,neutral
"Are we, like,the three young people?",surprise
I guess we are.,neutral
"So we quickly start working on our shelter,",neutral
"and the big kids go to deal with the fire,",fear
"which leaves the three youngest people,",neutral
we're doing the palm fronds.,happiness
"Wait, so doyou like Harry Potter?",neutral
"Yeah, I mean,I read all the books.",neutral
- There you go. True fan.- Seen all the movies.,happiness
"And I'm from Florida,so I've been to the...",neutral
"- the Wizarding World. Like...- Oh, yeah. Have you ever had Butterbeer?",happiness
- Of course.- How is it?,neutral
It's delicious.,happiness
"So we're talking,",neutral
and I'm really trying to let my nerdy self show.,happiness
"Oh, she knows her Harry Potter.",happiness
I love this.,happiness
"'Cause I could just tell.I picked up on that,",neutral
that that's the kindof person they are.,anger
"Oh, man, they'reworking hard on the fire.",surprise
Ah!,surprise
So I don't want to be with the big kids.,fear
"Oh, my God.- They get it?",surprise
"I want the people who are a little quieter,",neutral
maybe on the outs.,sadness
Good job.,happiness
"And, so far,I think it's going well.",happiness
So...,neutral
- You're thinking what I'm thinking?- Yeah.,surprise
Yes.,neutral
"- Yeah, same.- You remind me of back home.",happiness
I work inthe world of pageantry.,neutral
First impressions isthe most important thing.,surprise
"So right off the bat, with Drea and Rocks,",neutral
I just got really good vibes from them.,happiness
"Well, let's just start offwith this.",neutral
Yeah.,neutral
There you go.,neutral
"Ever since I was a kid, I wanted to do two things.",neutral
"I couldn't win Miss Universe because I'm a man,",sadness
but I could win Survivor.,surprise
Let's talk aboutbuilding some homes.,neutral
Let's do it.,neutral
"Who would have thought a pageant coach from South Central,",surprise
"this skinny kid,",anger
could be able to make alliances,neutral
and be chopping bamboo with no problem.,neutral
You good?,neutral
Yeah.,neutral
It's incredible.,surprise
"One, two, three.",neutral
Holy crap.,surprise
"It's a lot different than TV,huh, guys?",surprise
"Vati tribe,",neutral
"our first challengeof season 42, like,",surprise
it was insane.,surprise
"Even the team that's in lastcan finish it,",surprise
- so we don't give up.- Yeah. Yeah.- Yeah. Right.,neutral
"Daniel fell and dislocated his shoulder,",sadness
and now we haveno camp supplies.,sadness
So that isdefinitely a setback,sadness
going into a game where we are not provided anything.,surprise
"""You failedin your first attempt",sadness
"at earning your supplies.Here's your second chance.""",neutral
"Oh, my gosh.",surprise
"Oh, God.",fear
So we need to decide.,neutral
- Um...- Okay.,neutral
The choice of our challenge was to get,surprise
probably the most important things in the game:,neutral
"flint, machete, pot.",neutral
You can't do anythingwithout those three.,anger
"So big decision, we're in trouble.",fear
"Either we solve this puzzle, or fill up that pot",neutral
and walk that back and forth for four hours,neutral
and fill that 55-gallon drum up.,neutral
"Now, looking around,",surprise
I saw that the person thatwould be designated to do that,neutral
was yours truly.,neutral
"And they get to talk,",neutral
"they get to rest, I'm left out.",sadness
I make sure to puta kibosh on that right away.,anger
Here's what I'm thinking.That pot's heavy.,neutral
Yeah.That's four hours.,neutral
It's one person.I think we're a team.,happiness
"Yeah.We stick together, and we do the challenge",happiness
that we're all involved in.I agree.,neutral
So that way we all takeresponsibility for it.,neutral
Who's good at stufflike reading these triangles?,neutral
"Do we-- Are you good at that?Well, it's a visual...",neutral
I-I think I'm pretty good,happiness
"with visual puzzles like that.Okay, good.",neutral
All right.,neutral
"Okay, okay.This is...",surprise
Wait a minute.Was that a trick?,surprise
"No, it's not a trick. Listen.",surprise
"If it seems easy, it's not easy.Yeah. All right.",neutral
So should we all just do it?Yeah.,neutral
"Okay, I-I have my number.",surprise
"I have mine.Me, too.",happiness
"I, uh, I'm still going.",surprise
"Let's all say it on three.Wait, wait, wait.",surprise
"So I start counting the triangles,",neutral
"and how many of my tribe memberssay ""I got it""?",neutral
There's no way anyonehas it yet.,surprise
Let Jenny explain.She's on to something.,neutral
"I thought, ""Good Lord.",surprise
"These people are notpuzzle people.""",disgust
"So, one, two, three at the top, right?One, two, three. Right.",neutral
This is a triangle. This is a triangle.Damn.,anger
"You're right.Oh, you're right.",surprise
"I'm a designer,and so I'm a very visual person.",neutral
"I'm also really methodical,so I can pick things apart,",neutral
and I can see them visually.,neutral
"So this is one,including the two rows, right?",neutral
"Yeah.Yeah. Yeah.Four, five, right?",surprise
- That's another. So that's 20.- Yeah.,neutral
"So I just start showing them the basic math of it,",neutral
and they look at me confused.,surprise
"And at that point,",neutral
"I'm realizing I have to step upand really lead this challenge,",fear
so that I can get us the tools that we need.,neutral
There's no way.,sadness
It almost seems too easy.,surprise
"Six, seven, eight.",neutral
"This isn't my strong suit, so...",fear
"Like, he saw 30 more triangles than me.Yeah.",surprise
And I don't-- I-I feel likeI would get in the way.,sadness
"You know, it's-it's betterto divide our resources anyways,",neutral
so that we can have somewhere to sleep tonight.Yeah.,neutral
"Ultimately,the tribe decided to do Savvy,",neutral
which is a puzzle.,surprise
"I wanted to be the provider, the strength,",neutral
but I'm not gonna bethe puzzle guy.,neutral
"So, as a tribe, we decided to split--",sadness
"half work on the puzzle,half work on the shelter.",neutral
And then there were three.,surprise
The hardest part about this puzzle,disgust
was rememberingwhat you already counted.,sadness
"26, 27, 28, 29, 30.",neutral
Thirty-one.,neutral
"Okay, I see...",neutral
"No, no. The 30 is the 30.That 30 is that...",neutral
"- Oh, yes! Oh, my God.- Okay.",surprise
"The puzzle, it's like,",surprise
"you can see this triangle,and it might go",surprise
"and make a triangle like...♪ Doonk, doonk, doonk.♪",happiness
"And then you're like,""Yes. This is great.""",happiness
That's triangle number one.,neutral
"You go to triangle number two, three, four, five.",neutral
And now you're attriangle number six.,surprise
Where's triangle number one?,surprise
You don't know.,surprise
"And then after, you'll go, you'll be like, ""Oh,",surprise
"this is a cool triangle.""",happiness
"♪ Doonk, doonk, doonk.♪",neutral
And then you'll double-count it.,anger
"11, 12, 13, 14.",neutral
Fourteen?,surprise
It was so stressful,sadness
"just trying to keep track of,",neutral
"like, what have I counted?What have I not counted?",surprise
"Oh, oh, no, there's one.",surprise
The pressure is on,fear
because you don't have those tools.,anger
We can't start a fire.,sadness
"If rain comes, we're screwed.",fear
"And of course,we can't even build a shelter.",sadness
"Oh, my gosh.",surprise
"Okay, let's go.- Yeah.",neutral
"Oh, my God.",surprise
"46, 47, 48,",neutral
49.Mm-hmm.,neutral
Yeah.They have to come together.,neutral
That's what's tricky.,neutral
Yes.,neutral
Yep.,neutral
Getting this number right is the difference between,fear
being on the beach with nothing,happiness
or having water and fireand a shelter.,neutral
It is the difference betweenliteral survival in this game.,fear
"So, what are we at now?",surprise
We're at 50.- 50.,neutral
I'm confident thatthere are at least 50.,neutral
Yes.Yeah.,neutral
Okay.,neutral
"And then we dothe drumroll, right?",surprise
Who's got the drumroll?,surprise
Fifty-one.,neutral
"So, 37 plus 14 is 51.So...",surprise
So is that 51 three times?,surprise
I think it is.,neutral
Or 51 and 52.,surprise
"Once we got three in a row,where we're like, ""There's 51,""",happiness
we felt good about that.,happiness
"But even that's not enough,",neutral
'cause then you have the final step,neutral
of what's your second number?,neutral
Did you count twothat were the same?,surprise
Or did you maybe miss one?,surprise
51 and 52.,surprise
We good?- Yeah.,neutral
- We good.- God.,happiness
This is the scariestthing I've ever done in my life.,fear
Do it slow.,neutral
"Okay, ready?",surprise
Let's go.,happiness
What? What?,surprise
You guys rock.,happiness
"We have the flint, we have the machete,",neutral
and we have the pot.,neutral
And it's so funny how lowyour standards go so quickly.,anger
"I'm like, ""Oh, my gosh,we got bare necessities.",surprise
"This is the best dayof my life!""",happiness
"Hey, guys.",neutral
Yeah.,neutral
Fifty-seven.,neutral
Never would've guessed that.,surprise
"I try, brother. I try.Listen, it's not easy.",sadness
"Throughout my whole life,",neutral
"people look at me and think I'm a hard guy,",neutral
that I'm some guy,neutral
"that's probably a little mean, a little tough.",anger
"You know, so it's my jobto soften that blow",neutral
because that's not who I am.,sadness
"Oh, wow.Oh, wow.",surprise
I break rock.That's how strong Mike is!,anger
I'm so proud of what I've done in my life.,happiness
The Hoboken Fire Department was my career for 26 years.,happiness
Very proud to put that uniform on.,happiness
It gave me a sense of pride. I was actually,happiness
the first Puerto Rican battalion chief in Hoboken.,neutral
"You know, honestly,I have very humble beginnings.",neutral
"I was a kid in the projects, running the streets.",sadness
"My father was rough, my mother was handicapped, so",sadness
I had to work to...to be who I am today.,happiness
You got it this time.,surprise
Yes.,neutral
"Oh, my God.Oh, my God. Yes.",surprise
"Holy cow, baby.",surprise
- Yes. Here.- Wow.,surprise
"Oh, my God, guys.",surprise
"There's only sidewalksin Hoboken,",sadness
but I got a fire in Survivor.,happiness
Who says someonefrom the city can't make fire?,anger
"High five, man.",happiness
- Now...- Fireman gets the fire started.,anger
Jenny.,neutral
"I know, hey, just go with it.They're kids.",surprise
Yes!,happiness
"The thing is,my work ethic is different.",neutral
I like to get things done.,happiness
- This is not a vacation.- I got you.,neutral
