,Text,emotion
225,"Go, Lindsay! Go, Lindsay! Go!",Happiness
226,"Go, Lindsay!Go, Lindsay! Go!",Happiness
227,Down and around the beach,Neutral
228,trying to get two more paddles.,neutral
229,We're waiting for Daniel.,neutral
230,Here comes Daniel.,neutral
231,Got to get back.Daniel takes a fall.,sadness
232,"Keep digging, brother. You're on Survivor.Got it.",Neutral
233,"- Drop it, drop it, drop it.- Go. Hai's gonna head out now.",Happiness
234,"Go, Hai!",Happiness
235,Get the pad...Get the paddles ready.,Fear
236,You're okay. You're okay.,happiness
237,"Come on, Lindsay!",Anger
238,You got this!,happiness
239,Lindsay!,Surprise
240,"I sprint, and I run around,and I get there.",Happiness
241,"And then, all of a sudden, I see that there's this thing",surprise
242,that says you have to make,neutral
243,"this decision, but you have to wait",sadness
244,till everyone else gets there.,Neutral
245,"I'm like,""That's a huge twist,"" but",surprise
246,clearly this is a much moredangerous version of this game.,fear
247,Okay.,Neutral
248,Okay.- Well...,Neutral
249,"Hai, let's go!",Happiness
250,"Pros are,we all have an advantage.",Neutral
251,"Come on! Let's go, Hai!- Right, and also, con is",Neutral
252,we are now being deceitfulimmediately if...,anger
253,That's the game.- We play... We came,Neutral
254,"to play the game, though.",Neutral
255,But go with your gut.,surprise
256,My gut is thatit's only 26 days.,Surprise
257,- Going fast.- And that as long,Surprise
258,as we get to merge,neutral
259,and the three of us knowand only the three of us know...,sadness
260,"- It has to stay, just the three of us.- I got y'all.",Happiness
261,- Five finger.- Otherwise we...,Surprise
262,- we all crash and burn.- Can you touch his pinkie?- Pinkie.,Neutral
263,This was an opportunity to build,happiness
264,two instant connectionson other tribes.,Surprise
265,So for me there was no other choice,Neutral
266,except to do it.,anger
267,"Hey, what's the lie?Wait. What's the lie?",surprise
268,This is awesome! Wait. Let's,happiness
269,"- help each other out here.- Yo, this one is a long ride.",Neutral
270,- It is. Man.- Row.,Surprise
271,A long time to get back.,sadness
272,Rest of the tribe can do nothinguntil their tribe member is back,Worry/fear
273,with those two paddles.,Neutral
274,"This is mud. Here, get it on.",disgust
275,"- Wait.- Oh, it's so cute.",happiness
276,"- But I'm sorry.- Yeah, just do it.",Anger
277,"- Who cares?- Wait. They're gonna be like,",neutral
278,"- ""What kind of freaking...?""- Put it on my face, too.",Anger
279,- Oh!- It has to look like...,Surprise
280,"All right, we haveto make it believable.",Neutral
281,- Otherwise it's-it's obv...- We can't just... Shh.,Fear
282,No one's back yet.,Sadness
283,I've been on such a strictskin care routine.,Happiness
284,"- This is good. It's mud.- Oh, yeah, you're right.",surprise
285,"Oh, my God.I hope they're okay.",fear
286,"Wow. This is a hell of a runyou sent 'em on, Jeff.",Surprise
287,"Oh, my God. Come on.No. You have to.",Anger
288,"Okay.Okay, I'll do that.",Neutral
289,"Oh, yeah.",happiness
290,"Like, we have to do it.This doesn't...",Anger
291,This doesn't look good at all.,sadness
292,Should we check on them?,Fear
293,Lindsay!,Surprise
294,"Oh, and it's Lindsay backfirst.",surprise
295,Here comes Drea and Hai.,Surprise
296,You're good.,happiness
297,Go ahead.,Neutral
298,You guys ready?,Surprise
299,"Come on, Hai.",Anger
300,You're good.Everybody in your boats.,Neutral
301,"Steady, girl.",Neutral
302,All six people goingto be paddling.,Surprise
303,It's going to be Takuin the water first.,Neutral
304,You got to go outand around the buoy.,Neutral
305,Get your bamboo stickson the way back.,Neutral
306,Now we're straying.Let's all go...,fear
307,Ika is way off course.,surprise
308,They're strugglingjust to not go backwards.,sadness
309,"Stop paddling. Stop. Left. Stop.Right, right, right.",Surprise
310,- Row.- Go.,Neutral
311,Taku getting close to that buoy.,surprise
312,"- Row!- Now all of us, all of us.",anger
313,"It is Vati and Ikain second place,",surprise
314,but Taku in the clear leadright now.,surprise
315,"Come on. Come on, come on.",anger
316,You got to getaround that buoy...,Anger
317,All right....before you can get,Neutral
318,the bamboo stickson your way back.,surprise
319,"All right, guys.Come on, we got this.",Happiness
320,It is Taku still in the lead.,Neutral
321,Taku now at the stationto get their bamboo sticks.,Neutral
322,Now they're startingto float away,sadness
323,- from the station.- No!,Anger
324,Yeah.,Neutral
325,"Yeah. Yeah, you are.",Happiness
326,"Jump. All right,paddle close to him.",Surprise
327,Paddle close to him.,Neutral
328,"Jonathan gets upon the platform for Taku,",neutral
329,untying knots with his bamboo.,surprise
330,Jonathan back in the water now.,Neutral
331,Jonathan gonna swim backto that boat.,surprise
332,Taku still in a very dominatingposition right now.,Surprise
333,It's now Vati finallyat the buoy.,Surprise
334,"Go! Good, guys, good!",happiness
335,And Ika right behind them.- We got it.,Neutral
336,Taku is back.You got to get in.,surprise
337,You got to tie up.,Surprise
338,Taku trying to get closeto that rope.,surprise
339,Look at that.A miscalculation,surprise
340,about where they came in.,neutral
341,Jonathan literallydragging that boat over,anger
342,so he can walk in.,neutral
343,Yeah!,happiness
344,"- Now Vati at the platform.- You got it, Lydia?",neutral
345,"- Come on, baby.- Working on",Neutral
346,untying their bamboo sticks.,neutral
347,Don't lose me.Don't lose me. Don't lose me.,Fear
348,Everyone get out?,fear
349,"Once that rope will reach,try it.",Surprise
350,One person now.,Surprise
351,"- Come on, Marya.- Gonna be Marya using",neutral
352,the bamboo sticks. You're gonnahave to build a pole,Neutral
353,that is long enough and strongenough to reach that flint,neutral
354,and get it back to you.,Neutral
355,"Hold on, hold on, hold on.",Neutral
356,Hold on!Vati coming back now.,Surprise
357,They have their bamboo sticks.,Neutral
358,And Ika in blue nowat the platform.,Surprise
359,Ika has their bamboo sticks.They're heading back.,Neutral
360,Taku with the early lead.,surprise
361,Tak-Tak-Taku!,Surprise
362,"Go, go!",Surprise
363,Keep digging. You've got,excitement
364,"- to be tied in.- One, two. Go, go, go. Come on.",Neutral
365,"- You're good. Head in.- Come on, pull.",Neutral
366,Daniel clearly injured.- Come on!,Anger
367,Push!That fall he took,Surprise
368,in the beginning--that right shoulder looks lame.,anger
369,Got it. Got it.,Neutral
370,- Come on.- Let's go.,Neutral
371,Hai now starting to workon the bamboo sticks.,Neutral
372,Rocksroy starting inon the bamboo sticks.,Surprise
373,Marya with a big lead,happiness
374,"of time, allowing herto work on her bamboo pole.",neutral
375,"- You got it, girl.- Yeah, can you give it a go?",Neutral
376,Trying to see how much moredistance she needs.,Neutral
377,"She is not close.All right, you better move it, Hai.",Neutral
378,- Hai!- Hai!- Hai and Rocksroy are gaining.,Surprise
379,It would be a huge comebackfor Ika,happiness
380,and a huge comeback for Vati,happiness
381,'cause they werereally out of it.,sadness
382,"Good job, Rocksroy!Marya absolutely patient.",happiness
383,Does she have it this time?,Surprise
384,- It's looking better.- There you go.,Happiness
385,She's got to get it high enoughto hook that ring.,Neutral
386,"Yeah! Yeah, yeah,yeah, yeah, yeah!",Happiness
387,Hai now gonna give it a go.,neutral
388,And here comes Rocksroy.,Surprise
389,All three tribes are in it.,Neutral
390,This is what you want minutesinto Survivor 42.,surprise
391,"Oh, yeah, baby!Rocksroy",Happiness
392,- literally a half an inch away.- Got it?,Surprise
393,Closer. Closer.,Neutral
394,Rocksroy's on the ring.,neutral
395,- Can he get it off?- Let's go!,Surprise
396,He's got it hooked.He's got it off.,Neutral
397,Now it's in the sand.,Neutral
398,Now he's got to drag it.Here comes Hai.,neutral
399,What is happening?You can feel the pressure,fear
400,"- now kick in.- Yeah, you got this.- Good job.",happiness
401,"Taku had a huge lead,",surprise
402,which puts the pressureon Marya to pay it off.,anger
403,"You got this.Rocksroy very patient,",happiness
404,but this is nota good situation.,fear
405,Keep dragging it!,anger
406,Stick doesn't havemuch leverage.,anger
407,- There you go! There you go!- It will take a great touch.,Surprise
408,- Yes!- Rocksroy's inside the ring.,happiness
409,Can he hook it again?This would be a great maneuver.,surprise
410,And this might do it.,neutra
411,For the win for Ika.,Happiness
412,"- Yes!- Yeah, baby!",Happiness
413,"Ika wins first challenge.Huge job by Rocksroy,",happiness
414,earning camp suppliesfor his tribe.,neutral
415,You're the man!You are the man!,happiness
416,"Sorry, guys.",Sadness
417,Are you okay?You're bleeding a lot.,fear
418,"Ika, congratulations.",happiness
419,"Out of the gate, first victory.",happiness
420,Waiting for youback at camp will be,surprise
421,"your meager supplies:a pot, machete and a flint.",fear
422,"As for the two losing tribes,",neutral
423,you have to goto your new beaches now,fear
424,and once again try in a new way,surprise
425,to earn your camp supplies.,neutral
426,"Ika, grab your stuff,get in your boat.",Surprise
427,You're heading out this way. Congratulations.,happiness
428,Get started building shelter.,neutral
429,"Taku, grab your stuff,head out.",neutral
430,You're going straight out.,anger
431,"I mean, I failed.",Sadness
432,"My team set us up to winand win big,",happiness
433,but it's a lot harderthan I thought it was gonna be.,sadness
434,"And so, my mindset is just",neutral
435,buckle my seat belt.,neutral
436,"Like, it's gonna be real.",Neutral
437,"All right, Vati,before I send you out,",Neutral
438,"Daniel, clearlyyour shoulder is hurting.",Anger
439,What happened?,surprise
440,"I think I-I pulleda Stephenie LaGrossa here,",surprise
441,and I thinkit-it just popped out.,surprise
442,We're gonna bring medical inbefore you head out.,Neutral
443,Yes. Yes.So you can paddle.,Neutral
444,"All right, medical,let's come in.",Surprise
445,"All right,so let's give a little space.",neutral
446,Just step back a little bitso we can just talk with Daniel.,neutral
447,"You got this, Daniel.Yeah.",happiness
448,Let's sit you downso that you're more comfortable,Neutral
449,to start with. Yeah?Okay. Okay.Can you sit down?,Neutral
450,It's whatever position is more comfortable for you.- Okay.,Neutral
451,All right...,Neutral
452,Okay.,Neutral
453,Is it something thatcan be repaired?,Neutral
454,- Okay.- Just pop it. Pop it. I'm ready.,Surprise
455,Okay.,Neutral
456,- Just stay as relaxed as you're able to.- I trust you.,happiness
457,"- Oh, there we go. That feels so much better.- Wow. I saw it.",Surprise
458,"Oh, my God.",Surprise
459,"Wow, Dr. Rae, well done.Good job, Daniel.",Surprise
460,"Daniel,you're a rock star right now.",happiness
461,Okay.,Neutral
462,"Okay. All right, thank you.",Neutral
463,"Thanks, Dr. Rae.- I do love doctors.",happiness
464,"Good job, Dan. Good job, Dan.",happiness
465,Thank you. Thank you.,happiness
466,"All right, brother.",Neutral
467,"We lost the challenge, somebody got hurt.",Sadness
468,We don't know how hurt he is.,sadness
469,"Also, we got no rice,no flint, no machete, no pot.",sadness
470,"And I'm like, ""Already?""",Surprise
471,"The first 15 minutes, and we're in trouble.",fear
472,This is not a good start at all.,Sadness
473,- All right!- We're here!,happiness
474,"Oh, that's our stuff.Oh, my God!",surprise
475,I'm a super duper fan.,happiness
476,"So getting to just sitin this sand on this, like,",Neutral
477,stupid tree thing is a dream.,surprise
478,- This is our shelter?- This is for our shelter?,surprise
479,"I mean, prime real estate.",Neutral
480,"A new era of Survivor is absolutely terrifying,",fear
481,because I know 40 seasons.,Neutral
482,I don't know last season.,Neutral
483,I'm Zach.,Neutral
484,"I'm 21 years old,and I'm a student.",neutral
485,"But whatever is thrown my way,bring it on.",Neutral
486,I'm Drea. I'm 34.,Neutral
487,"Born and raised in Texas,",neutral
488,but I've lived in Montrealfor the past 12 years.,neutral
489,"So, I'm Romeo. Uh...",Neutral
490,I'm a pageant director.,Neutral
491,I'm Rocksroy Bailey.,neutral
492,I am the old head here.,anger
493,- I'm...- No way. No.,Surprise
494,I'm 43 years old.,neutral
495,"Okay, hi, guys. My name's Tori.",Neutral
496,"Um, I work as a caregiver,and I'm 24.",Neutral
497,"Um, I'm Swati. I'm 20.",Neutral
498,"Um, I'm inthe Army National Guard,",Neutral
499,"and I'm a computer science student.Oh, awesome.",happiness
500,"Being in the National Guard,I think it'll be a real asset,",Neutral
501,"because young women,as we have seen,",neutral
502,get voted out early on Survivorpretty frequently.,disgust
503,"So I think just havingthat initial impression of me,",neutral
504,"of like, ""Okay, she's going to do her work around camp,",Neutral
505,"she's going to participate in the challenges,""",Neutral
506,will be super useful.,neutral
507,My family immigrated from India.,neutral
508,They raised me by example,neutral
509,on hard work and discipline.,neutral
510,And some people were surprisedwhen the hippie nerd,Surprise
511,"joined the Army National Guard,",neutral
512,but to me the militaryreally exemplifies those values.,neutral
513,"Also, my education was always a top priority.",neutral
514,"Uh, not to flex, but I got into every college I applied to.",surprise
515,And now I got into Harvard.,happiness
516,"All I do at home is work and maneuver my way to the top,",anger
517,and that'swhat I'm about to do here.,Neutral
518,Tell me how to say your name.,Neutral
519,"- Swati.- Swati, Swati, Swati.",Neutral
520,- Swati.- Is it Tori?,Surprise
521,- Yes. How'd you know?- No way.,Surprise
522,"So, my social strategy coming into the game",neutral
523,"is, I want to tell peopleand show people",neutral
524,what I want themto think about me.,neutral
525,So I told them I workas a caregiver-- which is a lie.,Fear
526,I actually work as a therapist.,Neutral
527,But usingwhat I know in therapy,Neutral
528,is totally what I'm going to do.,Neutral
529,"Are we, like,the three young people?",Surprise
530,I guess we are.,neutral
531,"So we quickly start working on our shelter,",Neutral
532,"and the big kids go to deal with the fire,",fear
533,"which leaves the three youngest people,",Neutral
534,we're doing the palm fronds.,Happiness
535,"Wait, so doyou like Harry Potter?",Neutral
536,"Yeah, I mean,I read all the books.",neutral
537,- There you go. True fan.- Seen all the movies.,happiness
538,"And I'm from Florida,so I've been to the...",neutral
539,"- the Wizarding World. Like...- Oh, yeah. Have you ever had Butterbeer?",happiness
540,- Of course.- How is it?,Neutral
541,It's delicious.,happiness
542,"So we're talking,",neutral
543,and I'm really trying to let my nerdy self show.,happiness
544,"Oh, she knows her Harry Potter.",happiness
545,I love this.,happiness
546,"'Cause I could just tell.I picked up on that,",neutral
547,that that's the kindof person they are.,anger
548,"Oh, man, they'reworking hard on the fire.",Surprise
549,Ah!,surprise
550,So I don't want to be with the big kids.,fear
551,"Oh, my God.- They get it?",Surprise
552,"I want the people who are a little quieter,",neutral
553,maybe on the outs.,sadness
554,Good job.,happiness
555,"And, so far,I think it's going well.",happiness
556,So...,Neutral
557,- You're thinking what I'm thinking?- Yeah.,Surprise
558,Yes.,Neutral
559,"- Yeah, same.- You remind me of back home.",Happiness
560,I work inthe world of pageantry.,Neutral
561,First impressions isthe most important thing.,Surprise
562,"So right off the bat, with Drea and Rocks,",Neutral
563,I just got really good vibes from them.,happiness
564,"Well, let's just start offwith this.",Neutral
565,Yeah.,Neutral
566,There you go.,Neutral
567,"Ever since I was a kid, I wanted to do two things.",neutral
568,"I couldn't win Miss Universe because I'm a man,",sadness
569,but I could win Survivor.,Surprise
570,Let's talk aboutbuilding some homes.,Neutral
571,Let's do it.,Neutral
572,"Who would have thought a pageant coach from South Central,",surprise
573,"this skinny kid,",anger
574,could be able to make alliances,neutral
575,and be chopping bamboo with no problem.,neutral
576,You good?,Neutral
577,Yeah.,Neutral
578,It's incredible.,surprise
579,"One, two, three.",Neutral
580,Holy crap.,surprise
581,"It's a lot different than TV,huh, guys?",Surprise
582,"Vati tribe,",neutral
583,"our first challengeof season 42, like,",surprise
584,it was insane.,surprise
585,"Even the team that's in lastcan finish it,",surprise
586,- so we don't give up.- Yeah. Yeah.- Yeah. Right.,Neutral
587,"Daniel fell and dislocated his shoulder,",sadness
588,and now we haveno camp supplies.,sadness
589,So that isdefinitely a setback,sadness
590,going into a game where we are not provided anything.,surprise
591,"""You failedin your first attempt",Sadness
592,"at earning your supplies.Here's your second chance.""",Neutral
593,"Oh, my gosh.",surprise
594,"Oh, God.",Fear
595,So we need to decide.,neutral
596,- Um...- Okay.,Neutral
597,The choice of our challenge was to get,Surprise
598,probably the most important things in the game:,neutral
599,"flint, machete, pot.",Neutral
600,You can't do anythingwithout those three.,anger
601,"So big decision, we're in trouble.",fear
602,"Either we solve this puzzle, or fill up that pot",Neutral
603,and walk that back and forth for four hours,neutral
604,and fill that 55-gallon drum up.,neutral
605,"Now, looking around,",surprise
606,I saw that the person thatwould be designated to do that,neutral
607,was yours truly.,neutral
608,"And they get to talk,",neutral
609,"they get to rest, I'm left out.",sadness
610,I make sure to puta kibosh on that right away.,Anger
611,Here's what I'm thinking.That pot's heavy.,Neutral
612,Yeah.That's four hours.,Neutral
613,It's one person.I think we're a team.,Happiness
614,"Yeah.We stick together, and we do the challenge",happiness
615,that we're all involved in.I agree.,Neutral
616,So that way we all takeresponsibility for it.,neutral
617,Who's good at stufflike reading these triangles?,neutral
618,"Do we-- Are you good at that?Well, it's a visual...",Neutral
619,I-I think I'm pretty good,happiness
620,"with visual puzzles like that.Okay, good.",neutral
621,All right.,Neutral
622,"Okay, okay.This is...",Surprise
623,Wait a minute.Was that a trick?,surprise
624,"No, it's not a trick. Listen.",Surprise
625,"If it seems easy, it's not easy.Yeah. All right.",neutral
626,So should we all just do it?Yeah.,neutral
627,"Okay, I-I have my number.",Surprise
628,"I have mine.Me, too.",happiness
629,"I, uh, I'm still going.",surprise
630,"Let's all say it on three.Wait, wait, wait.",surprise
631,"So I start counting the triangles,",neutral
632,"and how many of my tribe memberssay ""I got it""?",neutral
633,There's no way anyonehas it yet.,surprise
634,Let Jenny explain.She's on to something.,neutral
635,"I thought, ""Good Lord.",surprise
636,"These people are notpuzzle people.""",disgust
637,"So, one, two, three at the top, right?One, two, three. Right.",Neutral
638,This is a triangle. This is a triangle.Damn.,Anger
639,"You're right.Oh, you're right.",surprise
640,"I'm a designer,and so I'm a very visual person.",Neutral
641,"I'm also really methodical,so I can pick things apart,",neutral
642,and I can see them visually.,Neutral
643,"So this is one,including the two rows, right?",Neutral
644,"Yeah.Yeah. Yeah.Four, five, right?",Surprise
645,- That's another. So that's 20.- Yeah.,Neutral
646,"So I just start showing them the basic math of it,",neutral
647,and they look at me confused.,confused
648,"And at that point,",neutral
649,"I'm realizing I have to step upand really lead this challenge,",fear
650,so that I can get us the tools that we need.,neutral
651,There's no way.,Sadness
652,It almost seems too easy.,surprise
653,"Six, seven, eight.",Neutral
654,"This isn't my strong suit, so...",fear
655,"Like, he saw 30 more triangles than me.Yeah.",Surprise
656,And I don't-- I-I feel likeI would get in the way.,sadness
657,"You know, it's-it's betterto divide our resources anyways,",Neutral
658,so that we can have somewhere to sleep tonight.Yeah.,Neutral
659,"Ultimately,the tribe decided to do Savvy,",Neutral
660,which is a puzzle.,surprise
661,"I wanted to be the provider, the strength,",neutral
662,but I'm not gonna bethe puzzle guy.,neutral
663,"So, as a tribe, we decided to split--",sadness
664,"half work on the puzzle,half work on the shelter.",neutral
665,And then there were three.,Surprise
666,The hardest part about this puzzle,disgust
667,was rememberingwhat you already counted.,Sadness
668,"26, 27, 28, 29, 30.",Neutral
669,Thirty-one.,Neutral
670,"Okay, I see...",Neutral
671,"No, no. The 30 is the 30.That 30 is that...",Neutral
672,"- Oh, yes! Oh, my God.- Okay.",Surprise
673,"The puzzle, it's like,",surprise
674,"you can see this triangle,and it might go",surprise
675,"and make a triangle like...♪ Doonk, doonk, doonk.♪",happiness
